stage,method,iteration,depth,total_work,epsilon_mean,epsilon_ci_low,epsilon_ci_high,seed_count
formal,NOG-FO,24,26.0,208.0,0.24739365354180337,0.24653650360629598,0.24825080347731077,20
formal,NOG-FO,48,50.0,400.0,0.24234051927924155,0.2415382255680017,0.2431428129904814,20
formal,NOG-FO,72,74.0,592.0,0.23402181789278984,0.23325611459684983,0.23478752118872984,20
formal,NOG-FO,96,98.0,784.0,0.22235640361905099,0.22168122442345733,0.22303158281464464,20
formal,NOG-FO,120,122.0,976.0,0.20820527672767639,0.2075305498721703,0.20888000358318248,20
formal,NOG-FO,144,146.0,1168.0,0.1914273902773857,0.19065161938520864,0.19220316116956276,20
formal,NOG-FO,168,170.0,1360.0,0.17289000228047371,0.17199292809123393,0.1737870764697135,20
formal,NOG-FO,192,194.0,1552.0,0.15318673923611642,0.15191242930528154,0.1544610491669513,20
formal,NOG-FO,216,218.0,1744.0,0.13303343653678895,0.13169487285694728,0.13437200021663062,20
formal,NOG-FO,240,242.0,1936.0,0.11337442323565483,0.11192544555387827,0.11482340091743139,20
formal,NOG-FO,264,266.0,2128.0,0.09532794393599034,0.09376126663689828,0.0968946212350824,20
formal,NOG-FO,288,290.0,2320.0,0.07874692156910897,0.07730886462237822,0.08018497851583971,20
formal,NOG-FO,312,314.0,2512.0,0.06493090279400349,0.0634923378839212,0.06636946770408578,20
formal,NOG-FO,336,338.0,2704.0,0.05277956910431385,0.0514880250134305,0.054071113195197196,20
formal,NOG-FO,360,362.0,2896.0,0.04235687609761953,0.040833118392986464,0.0438806338022526,20
formal,NOG-FO,384,386.0,3088.0,0.03464738167822361,0.03318941526071425,0.036105348095732966,20
formal,NOG-FO,408,410.0,3280.0,0.028318016976118087,0.02697909816679036,0.029656935785445815,20
formal,NOG-FO,432,434.0,3472.0,0.023411180730909108,0.022353668765942546,0.02446869269587567,20
formal,NOG-FO,456,458.0,3664.0,0.018971128296107052,0.018047373826515535,0.01989488276569857,20
formal,NOG-FO,480,482.0,3856.0,0.016172960214316846,0.0152478493146421,0.01709807111399159,20
formal,NOG-FO,504,506.0,4048.0,0.014736156444996595,0.013716201711222282,0.01575611117877091,20
formal,NOG-FO,528,530.0,4240.0,0.01290988172404468,0.011915143696686167,0.013904619751403193,20
formal,NOG-FO,552,554.0,4432.0,0.011750058364123106,0.011140106371227152,0.01236001035701906,20
formal,NOG-FO,576,578.0,4624.0,0.011200384050607682,0.010725670680914118,0.011675097420301246,20
formal,NOG-FO,600,602.0,4816.0,0.010806563124060631,0.010303626502694372,0.011309499745426891,20
formal,NOG-FO,624,626.0,5008.0,0.010106950206682086,0.009713502191338206,0.010500398222025966,20
formal,NOG-FO,648,650.0,5200.0,0.010096944309771061,0.009820415727339275,0.010373472892202848,20
formal,NOG-FO,672,674.0,5392.0,0.00973826851695776,0.00943286167730196,0.010043675356613558,20
formal,NOG-FO,696,698.0,5584.0,0.009647277416661382,0.009376905398162732,0.009917649435160032,20
formal,NOG-FO,720,722.0,5776.0,0.009721472533419729,0.009465926937658374,0.009977018129181083,20
formal,NOG-FO,744,746.0,5968.0,0.009631378995254635,0.009337715987296925,0.009925042003212346,20
formal,NOG-FO,768,770.0,6160.0,0.009744436340406537,0.009284085133107429,0.010204787547705645,20
formal,NOG-FO,792,794.0,6352.0,0.009751043561846019,0.009348205897913808,0.01015388122577823,20
formal,NOG-FO,816,818.0,6544.0,0.009754491131752729,0.009315577130684337,0.010193405132821121,20
formal,NOG-FO,840,842.0,6736.0,0.00963536580093205,0.00931733758250343,0.00995339401936067,20
formal,NOG-FO,864,866.0,6928.0,0.009755263244733215,0.009361153845492545,0.010149372643973885,20
formal,NOG-FO,888,890.0,7120.0,0.00965278884395957,0.009270931903559702,0.010034645784359437,20
formal,NOG-FO,912,914.0,7312.0,0.009842922072857618,0.009479817803413669,0.010206026342301567,20
formal,NOG-FO,936,938.0,7504.0,0.009940134128555655,0.009551665116071346,0.010328603141039965,20
formal,NOG-FO,960,962.0,7696.0,0.01008820179849863,0.009691698115052097,0.010484705481945163,20
formal,NOG-FO-NONOPT,24,26.0,208.0,0.24343082308769226,0.2426160992009828,0.24424554697440173,21
formal,NOG-FO-NONOPT,48,50.0,400.0,0.2254909716901325,0.22481400865399181,0.22616793472627317,21
formal,NOG-FO-NONOPT,72,74.0,592.0,0.19706841096991584,0.19641320773061519,0.1977236142092165,21
formal,NOG-FO-NONOPT,96,98.0,784.0,0.16011250160989307,0.15942051002720733,0.1608044931925788,21
formal,NOG-FO-NONOPT,120,122.0,976.0,0.11981625642095294,0.11884562408199416,0.12078688875991171,21
formal,NOG-FO-NONOPT,144,146.0,1168.0,0.08075106747093655,0.07968160544196927,0.08182052949990383,21
formal,NOG-FO-NONOPT,168,170.0,1360.0,0.05022287138161205,0.04894673250325767,0.05149901025996643,21
formal,NOG-FO-NONOPT,192,194.0,1552.0,0.030045840623123304,0.028503394172199048,0.03158828707404756,21
formal,NOG-FO-NONOPT,216,218.0,1744.0,0.01963412384724333,0.018206507934102466,0.021061739760384196,21
formal,NOG-FO-NONOPT,240,242.0,1936.0,0.015541624987409228,0.014462772756362933,0.016620477218455523,21
formal,NOG-FO-NONOPT,264,266.0,2128.0,0.01431321609942686,0.013526485399043182,0.015099946799810537,21
formal,NOG-FO-NONOPT,288,290.0,2320.0,0.01333840727983486,0.012626144257873765,0.014050670301795956,21
formal,NOG-FO-NONOPT,312,314.0,2512.0,0.013283513619431428,0.012542285958645847,0.01402474128021701,21
formal,NOG-FO-NONOPT,336,338.0,2704.0,0.012990970874116534,0.012518716660280321,0.013463225087952746,21
formal,NOG-FO-NONOPT,360,362.0,2896.0,0.013196070323742572,0.012611816292894611,0.013780324354590532,21
formal,NOG-FO-NONOPT,384,386.0,3088.0,0.013187971986120655,0.012673221128516706,0.013702722843724605,21
formal,NOG-FO-NONOPT,408,410.0,3280.0,0.013135344233541261,0.012626764020602872,0.01364392444647965,21
formal,NOG-FO-NONOPT,432,434.0,3472.0,0.013025461341298762,0.012622358225804018,0.013428564456793506,21
formal,NOG-FO-NONOPT,456,458.0,3664.0,0.012891563764285473,0.012171704247173131,0.013611423281397816,21
formal,NOG-FO-NONOPT,480,482.0,3856.0,0.012959212685624758,0.012503971952997604,0.013414453418251912,21
formal,NOG-FO-NONOPT,504,506.0,4048.0,0.012542201605226313,0.012165759693999438,0.012918643516453188,21
formal,NOG-FO-NONOPT,528,530.0,4240.0,0.012658534793271906,0.012264393638787653,0.013052675947756158,21
formal,NOG-FO-NONOPT,552,554.0,4432.0,0.012342587556867372,0.011919037025717097,0.012766138088017647,21
formal,NOG-FO-NONOPT,576,578.0,4624.0,0.012963713191094853,0.012300146250675227,0.01362728013151448,21
formal,NOG-FO-NONOPT,600,602.0,4816.0,0.012524961272165888,0.012093452793439789,0.012956469750891987,21
formal,NOG-FO-NONOPT,624,626.0,5008.0,0.012527971395424433,0.012160510234637437,0.01289543255621143,21
formal,NOG-FO-NONOPT,648,650.0,5200.0,0.013195440084451721,0.012528223824901973,0.013862656344001469,21
formal,NOG-FO-NONOPT,672,674.0,5392.0,0.013034706935286522,0.012379396198375888,0.013690017672197156,21
formal,NOG-FO-NONOPT,696,698.0,5584.0,0.01236433730948539,0.01201994400250012,0.01270873061647066,21
formal,NOG-FO-NONOPT,720,722.0,5776.0,0.01239485191624789,0.012049938942980287,0.012739764889515493,21
formal,NOG-FO-NONOPT,744,746.0,5968.0,0.012703045936567443,0.012119596674674748,0.013286495198460138,21
formal,NOG-FO-NONOPT,768,770.0,6160.0,0.01250826350102822,0.0119985666224119,0.013017960379644538,21
formal,NOG-FO-NONOPT,792,794.0,6352.0,0.01259712657580773,0.012116296550418404,0.013077956601197056,21
formal,NOG-FO-NONOPT,816,818.0,6544.0,0.012892911388050942,0.01233349068887917,0.013452332087222714,21
formal,NOG-FO-NONOPT,840,842.0,6736.0,0.01244331089158853,0.012037243904532247,0.012849377878644812,21
formal,NOG-FO-NONOPT,864,866.0,6928.0,0.012800694310239382,0.012184785349945612,0.013416603270533152,21
formal,NOG-FO-NONOPT,888,890.0,7120.0,0.012438359093807992,0.01199126496735761,0.012885453220258374,21
formal,NOG-FO-NONOPT,912,914.0,7312.0,0.012656554402340026,0.01212857770414875,0.013184531100531303,21
formal,NOG-FO-NONOPT,936,938.0,7504.0,0.01288292370736599,0.012279096119058256,0.013486751295673723,21
formal,NOG-FO-NONOPT,960,962.0,7696.0,0.01324009850976013,0.012617104417932389,0.013863092601587872,21
pilot,NOG-FO,24,26.0,208.0,0.2471019834280014,0.24569683052059085,0.24850713633541197,5
pilot,NOG-FO,48,50.0,400.0,0.24199972450733184,0.2405708276210505,0.24342862139361318,5
pilot,NOG-FO,72,74.0,592.0,0.23391154408454895,0.23239828604810303,0.23542480212099487,5
pilot,NOG-FO,96,98.0,784.0,0.2225588083267212,0.22085399221193164,0.22426362444151077,5
pilot,NOG-FO,120,122.0,976.0,0.2086024612188339,0.20717457017679253,0.2100303522608753,5
pilot,NOG-FO,144,146.0,1168.0,0.19244371652603148,0.19166725786685315,0.1932201751852098,5
pilot,NOG-FO,168,170.0,1360.0,0.17409316897392274,0.17276446063469691,0.17542187731314857,5
pilot,NOG-FO,192,194.0,1552.0,0.1546675443649292,0.1530006908586285,0.15633439787122988,5
pilot,NOG-FO,216,218.0,1744.0,0.13549867570400237,0.13325046217858544,0.1377468892294193,5
pilot,NOG-FO,240,242.0,1936.0,0.11580320000648499,0.11319939282391113,0.11840700718905885,5
pilot,NOG-FO,264,266.0,2128.0,0.0968310296535492,0.09415478023492346,0.09950727907217494,5
pilot,NOG-FO,288,290.0,2320.0,0.08018481582403184,0.07698606641340339,0.08338356523466028,5
pilot,NOG-FO,312,314.0,2512.0,0.065499397367239,0.06257083375589755,0.06842796097858046,5
pilot,NOG-FO,336,338.0,2704.0,0.053748256713151935,0.051484859059307664,0.056011654366996205,5
pilot,NOG-FO,360,362.0,2896.0,0.04326586350798607,0.039158515511337186,0.04737321150463496,5
pilot,NOG-FO,384,386.0,3088.0,0.03548694476485252,0.03198859993197586,0.038985289597729185,5
pilot,NOG-FO,408,410.0,3280.0,0.02944391518831253,0.025795375656632327,0.03309245471999273,5
pilot,NOG-FO,432,434.0,3472.0,0.02419072426855564,0.02206523688923904,0.02631621164787224,5
pilot,NOG-FO,456,458.0,3664.0,0.020768750458955765,0.01879836780355909,0.02273913311435244,5
pilot,NOG-FO,480,482.0,3856.0,0.0178998239338398,0.01609732634665921,0.01970232152102039,5
pilot,NOG-FO,504,506.0,4048.0,0.014953230880200863,0.013890145951697172,0.016016315808704554,5
pilot,NOG-FO,528,530.0,4240.0,0.013443519361317158,0.012447889406428365,0.01443914931620595,5
pilot,NOG-FO,552,554.0,4432.0,0.011781956441700459,0.01107853605300948,0.012485376830391437,5
pilot,NOG-FO,576,578.0,4624.0,0.010666635073721408,0.0097594616482132,0.011573808499229616,5
pilot,NOG-FO,600,602.0,4816.0,0.01041578147560358,0.009126299537397324,0.011705263413809836,5
pilot,NOG-FO,624,626.0,5008.0,0.009872514195740223,0.009384548225882213,0.010360480165598233,5
pilot,NOG-FO,648,650.0,5200.0,0.009886068105697633,0.008834909320870414,0.010937226890524851,5
pilot,NOG-FO,672,674.0,5392.0,0.009674909338355065,0.00873664770725944,0.01061317096945069,5
pilot,NOG-FO,696,698.0,5584.0,0.00993131473660469,0.009329322551909243,0.010533306921300138,5
pilot,NOG-FO,720,722.0,5776.0,0.009680621139705182,0.008729794072353468,0.010631448207056896,5
pilot,NOG-FO,744,746.0,5968.0,0.00976493451744318,0.008856105867313826,0.010673763167572533,5
pilot,NOG-FO,768,770.0,6160.0,0.009630271419882774,0.008774298615943421,0.010486244223822126,5
pilot,NOG-FO,792,794.0,6352.0,0.009946051426231861,0.009277482076593808,0.010614620775869915,5
pilot,NOG-FO,816,818.0,6544.0,0.009394177980720998,0.008306746394073635,0.01048160956736836,5
pilot,NOG-FO,840,842.0,6736.0,0.009377427585422992,0.008561866601829084,0.0101929885690169,5
pilot,NOG-FO,864,866.0,6928.0,0.009238412231206894,0.008593024157659715,0.009883800304754073,5
pilot,NOG-FO,888,890.0,7120.0,0.009642760083079339,0.009070032847842446,0.010215487318316232,5
pilot,NOG-FO,912,914.0,7312.0,0.009689808823168278,0.009212527455489762,0.010167090190846793,5
pilot,NOG-FO,936,938.0,7504.0,0.009904920123517513,0.00945238422441596,0.010357456022619067,5
pilot,NOG-FO,960,962.0,7696.0,0.010434026084840297,0.00935554314358678,0.011512509026093814,5
pilot,NOG-FO-NONOPT,24,26.0,208.0,0.24295762181282043,0.24162156958895606,0.2442936740366848,5
pilot,NOG-FO-NONOPT,48,50.0,400.0,0.22485332787036896,0.22351340301487954,0.22619325272585838,5
pilot,NOG-FO-NONOPT,72,74.0,592.0,0.1971787691116333,0.19576258822488116,0.19859494999838542,5
pilot,NOG-FO-NONOPT,96,98.0,784.0,0.160963237285614,0.15871221762941234,0.16321425694181568,5
pilot,NOG-FO-NONOPT,120,122.0,976.0,0.12115632742643356,0.11960893693856797,0.12270371791429915,5
pilot,NOG-FO-NONOPT,144,146.0,1168.0,0.08241119235754013,0.08138240600177979,0.08343997871330047,5
pilot,NOG-FO-NONOPT,168,170.0,1360.0,0.05215623453259468,0.047036761310213115,0.05727570775497624,5
pilot,NOG-FO-NONOPT,192,194.0,1552.0,0.031090235337615013,0.02831507875979141,0.033865391915438615,5
pilot,NOG-FO-NONOPT,216,218.0,1744.0,0.021366357803344727,0.01773003539336069,0.025002680213328764,5
pilot,NOG-FO-NONOPT,240,242.0,1936.0,0.015750637091696263,0.012465520540785464,0.01903575364260706,5
pilot,NOG-FO-NONOPT,264,266.0,2128.0,0.014262612909078598,0.011282178507183823,0.017243047310973373,5
pilot,NOG-FO-NONOPT,288,290.0,2320.0,0.012979190982878207,0.010904605478457459,0.015053776487298956,5
pilot,NOG-FO-NONOPT,312,314.0,2512.0,0.012353584170341492,0.011380493929759775,0.013326674410923209,5
pilot,NOG-FO-NONOPT,336,338.0,2704.0,0.013401377387344838,0.011124611436024539,0.015678143338665136,5
pilot,NOG-FO-NONOPT,360,362.0,2896.0,0.014090035669505596,0.012442448446553794,0.0157376228924574,5
pilot,NOG-FO-NONOPT,384,386.0,3088.0,0.013046812824904918,0.010886504493805871,0.015207121156003965,5
pilot,NOG-FO-NONOPT,408,410.0,3280.0,0.013000287301838397,0.011610161933710693,0.014390412669966102,5
pilot,NOG-FO-NONOPT,432,434.0,3472.0,0.012112647481262683,0.011388862219671567,0.0128364327428538,5
pilot,NOG-FO-NONOPT,456,458.0,3664.0,0.011913907341659069,0.010851294598891198,0.01297652008442694,5
pilot,NOG-FO-NONOPT,480,482.0,3856.0,0.01242983490228653,0.011180286524576918,0.01367938327999614,5
pilot,NOG-FO-NONOPT,504,506.0,4048.0,0.012122969515621662,0.011640358013851224,0.012605581017392101,5
pilot,NOG-FO-NONOPT,528,530.0,4240.0,0.01194545179605484,0.010632431759664808,0.01325847183244487,5
pilot,NOG-FO-NONOPT,552,554.0,4432.0,0.011935502104461194,0.011238412141018356,0.012632592067904031,5
pilot,NOG-FO-NONOPT,576,578.0,4624.0,0.011976291611790656,0.011193147539863772,0.01275943568371754,5
pilot,NOG-FO-NONOPT,600,602.0,4816.0,0.013280681520700454,0.010878918050623822,0.015682444990777086,5
pilot,NOG-FO-NONOPT,624,626.0,5008.0,0.012380972690880298,0.01137356512764831,0.013388380254112285,5
pilot,NOG-FO-NONOPT,648,650.0,5200.0,0.01230083331465721,0.011545122487975932,0.01305654414133849,5
pilot,NOG-FO-NONOPT,672,674.0,5392.0,0.011987682059407234,0.010397511735779167,0.013577852383035301,5
pilot,NOG-FO-NONOPT,696,698.0,5584.0,0.012644780613482,0.011225510866632316,0.014064050360331683,5
pilot,NOG-FO-NONOPT,720,722.0,5776.0,0.013302206806838513,0.012397098664593402,0.014207314949083625,5
pilot,NOG-FO-NONOPT,744,746.0,5968.0,0.013502586632966995,0.011698894838030787,0.015306278427903204,5
pilot,NOG-FO-NONOPT,768,770.0,6160.0,0.013324399664998054,0.012094797828060685,0.014554001501935422,5
pilot,NOG-FO-NONOPT,792,794.0,6352.0,0.013181361928582191,0.012299888223457756,0.014062835633706626,5
pilot,NOG-FO-NONOPT,816,818.0,6544.0,0.012245403043925763,0.01140198542876671,0.013088820659084816,5
pilot,NOG-FO-NONOPT,840,842.0,6736.0,0.012422682531177998,0.011244119782016369,0.013601245280339628,5
pilot,NOG-FO-NONOPT,864,866.0,6928.0,0.01258101463317871,0.011700709493428017,0.013461319772929404,5
pilot,NOG-FO-NONOPT,888,890.0,7120.0,0.01366327628493309,0.011111110980930847,0.01621544158893533,5
pilot,NOG-FO-NONOPT,912,914.0,7312.0,0.013183141872286797,0.012204633771224544,0.01416164997334905,5
pilot,NOG-FO-NONOPT,936,938.0,7504.0,0.01338911782950163,0.012239004826850374,0.014539230832152885,5
pilot,NOG-FO-NONOPT,960,962.0,7696.0,0.014342110231518745,0.011550971928079959,0.017133248534957533,5
