method,base_method,iteration,round,block_id,worker_count,eval_point,delta,target_delta,smoothing_delta,M,lr_or_eta,block_oracle_norm,time_sec,formal_seed,problem_seed,partition_seed,method_seed,oracle_type,work,total_work,per_worker_work_max,per_worker_work,eval_work,communication_round,depth,objective,stat_proxy,evaluation_delta,train_accuracy,test_accuracy,candidate_id,candidate_parameters,candidate_rounds,target_total_work,dataset,batch_size,seed_role,small_batch,large_batch,restart_period,restart_mixing_rounds,epoch_length,domain_radius,theory_multiplier,smooth_B,data_B_per_worker
DGFM,DGFM,0,0,,8,x0_exact,,,,,,,0.0,0,100000,200000,2024481442,szo,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",8192,0,0,1.0,0.36728140711784363,0.002,0.24080955982208252,0.23622627556324005,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,1,1,,8,x_bar,0.002,0.002,0.001,,0.5,,0.0891008377075195,0,100000,200000,2024481442,szo,256,256,32,"[32, 32, 32, 32, 32, 32, 32, 32]",8192,2,2,0.9491131901741028,0.367281436920166,0.002,0.7647799253463745,0.7691788077354431,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,384,384,,8,x_bar,0.002,0.002,0.001,,0.5,,1.5493922233581543,0,100000,200000,2024481442,szo,98304,98304,12288,"[12288, 12288, 12288, 12288, 12288, 12288, 12288, 12288]",16384,768,768,0.3971629440784454,0.0230095647275447,0.002,0.8281072378158569,0.82924884557724,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,768,768,,8,x_bar,0.002,0.002,0.001,,0.5,,6.704298734664917,0,100000,200000,2024481442,szo,196608,196608,24576,"[24576, 24576, 24576, 24576, 24576, 24576, 24576, 24576]",24576,1536,1536,0.3808267116546631,0.0173680037260055,0.002,0.8368293642997742,0.8383391499519348,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,1152,1152,,8,x_bar,0.002,0.002,0.001,,0.5,,11.6816143989563,0,100000,200000,2024481442,szo,294912,294912,36864,"[36864, 36864, 36864, 36864, 36864, 36864, 36864, 36864]",32768,2304,2304,0.385015994310379,0.0191012769937515,0.002,0.8340960144996643,0.8390762209892273,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,1536,1536,,8,x_bar,0.002,0.002,0.001,,0.5,,17.987221479415894,0,100000,200000,2024481442,szo,393216,393216,49152,"[49152, 49152, 49152, 49152, 49152, 49152, 49152, 49152]",40960,3072,3072,0.3820629119873047,0.0162542033940553,0.002,0.8356316089630127,0.8396289944648743,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,1920,1920,,8,x_bar,0.002,0.002,0.001,,0.5,,23.10202693939209,0,100000,200000,2024481442,szo,491520,491520,61440,"[61440, 61440, 61440, 61440, 61440, 61440, 61440, 61440]",49152,3840,3840,0.3830349445343017,0.0130588095635175,0.002,0.8343724012374878,0.8382163047790527,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,2304,2304,,8,x_bar,0.002,0.002,0.001,,0.5,,28.088300943374637,0,100000,200000,2024481442,szo,589824,589824,73728,"[73728, 73728, 73728, 73728, 73728, 73728, 73728, 73728]",57344,4608,4608,0.3799642622470855,0.0117704076692461,0.002,0.8368293642997742,0.8403046727180481,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,2688,2688,,8,x_bar,0.002,0.002,0.001,,0.5,,32.982359409332275,0,100000,200000,2024481442,szo,688128,688128,86016,"[86016, 86016, 86016, 86016, 86016, 86016, 86016, 86016]",65536,5376,5376,0.3720448911190033,0.0099478289484977,0.002,0.8410367965698242,0.8448498249053955,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,3072,3072,,8,x_bar,0.002,0.002,0.001,,0.5,,37.89778184890747,0,100000,200000,2024481442,szo,786432,786432,98304,"[98304, 98304, 98304, 98304, 98304, 98304, 98304, 98304]",73728,6144,6144,0.3686182498931885,0.010419494472444,0.002,0.8418046236038208,0.8472452759742737,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
