dataset,search_seed,candidate_id,candidate_parameters,epsilon_25,epsilon_50,epsilon_75,epsilon_100,actual_work_25,actual_work_50,actual_work_75,actual_work_100,final_epsilon,final_depth,final_work,log_epsilon_score
a9a,400,NOG-ZO__M-1__data_B_total-128__eta-0p0003__smooth_B-1,"{""M"": 1, ""data_B_total"": 128, ""eta"": 0.0003, ""smooth_B"": 1}",0.3654060661792755,0.2482564896345138,0.0327812880277633,0.0283393375575542,221952,467712,713472,983040,0.0283393375575542,3840,983040,-2.3453601754311246
a9a,400,NOG-ZO__M-1__data_B_total-128__eta-0p0003__smooth_B-2,"{""M"": 1, ""data_B_total"": 128, ""eta"": 0.0003, ""smooth_B"": 2}",0.3654060661792755,0.3654060661792755,0.3654060661792755,0.0436600930988788,198144,443904,689664,983040,0.0436600930988788,1920,983040,-1.5378897241505554
a9a,400,NOG-ZO__M-1__data_B_total-128__eta-0p0003__smooth_B-4,"{""M"": 1, ""data_B_total"": 128, ""eta"": 0.0003, ""smooth_B"": 4}",0.3654060661792755,0.3654060661792755,0.3654060661792755,0.3654060661792755,199680,396288,691200,983040,0.3654060661792755,960,983040,-1.006746033700184
a9a,400,NOG-ZO__M-1__data_B_total-128__eta-0p0003__smooth_B-8,"{""M"": 1, ""data_B_total"": 128, ""eta"": 0.0003, ""smooth_B"": 8}",0.3654060661792755,0.3654060661792755,0.3654060661792755,0.3654060661792755,202752,399360,595968,983040,0.3654060661792755,480,983040,-1.006746033700184
a9a,400,NOG-ZO__M-1__data_B_total-128__eta-0p0009__smooth_B-1,"{""M"": 1, ""data_B_total"": 128, ""eta"": 0.0009, ""smooth_B"": 1}",0.3654060661792755,0.3654060661792755,0.3654060661792755,0.2523721754550934,221952,467712,713472,983040,0.2523721754550934,3840,983040,-1.0992721238423253
a9a,400,NOG-ZO__M-1__data_B_total-128__eta-0p0009__smooth_B-2,"{""M"": 1, ""data_B_total"": 128, ""eta"": 0.0009, ""smooth_B"": 2}",0.3654060661792755,0.3654060661792755,0.3654060661792755,0.3654060661792755,198144,443904,689664,983040,0.3654060661792755,1920,983040,-1.006746033700184
a9a,400,NOG-ZO__M-1__data_B_total-128__eta-0p0009__smooth_B-4,"{""M"": 1, ""data_B_total"": 128, ""eta"": 0.0009, ""smooth_B"": 4}",0.3654060661792755,0.3654060661792755,0.3654060661792755,0.3654060661792755,199680,396288,691200,983040,0.3654060661792755,960,983040,-1.006746033700184
a9a,400,NOG-ZO__M-1__data_B_total-128__eta-0p0009__smooth_B-8,"{""M"": 1, ""data_B_total"": 128, ""eta"": 0.0009, ""smooth_B"": 8}",0.3654060661792755,0.3654060661792755,0.3654060661792755,0.3654060661792755,202752,399360,595968,983040,0.3654060661792755,480,983040,-1.006746033700184
a9a,400,NOG-ZO__M-1__data_B_total-128__eta-3em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 128, ""eta"": 3e-05, ""smooth_B"": 1}",0.3654060661792755,0.0876912549138069,0.0671586468815803,0.042113684117794,221952,467712,713472,983040,0.042113684117794,3840,983040,-2.327189820383847
a9a,400,NOG-ZO__M-1__data_B_total-128__eta-3em05__smooth_B-2,"{""M"": 1, ""data_B_total"": 128, ""eta"": 3e-05, ""smooth_B"": 2}",0.3654060661792755,0.3654060661792755,0.3323490023612976,0.1104991436004638,198144,443904,689664,983040,0.1104991436004638,1920,983040,-1.3294523064867905
a9a,400,NOG-ZO__M-1__data_B_total-128__eta-3em05__smooth_B-4,"{""M"": 1, ""data_B_total"": 128, ""eta"": 3e-05, ""smooth_B"": 4}",0.3654060661792755,0.3654060661792755,0.3654060661792755,0.3654060661792755,199680,396288,691200,983040,0.3654060661792755,960,983040,-1.006746033700184
a9a,400,NOG-ZO__M-1__data_B_total-128__eta-3em05__smooth_B-8,"{""M"": 1, ""data_B_total"": 128, ""eta"": 3e-05, ""smooth_B"": 8}",0.3654060661792755,0.3654060661792755,0.3654060661792755,0.3654060661792755,202752,399360,595968,983040,0.3654060661792755,480,983040,-1.006746033700184
a9a,400,NOG-ZO__M-1__data_B_total-128__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 128, ""eta"": 9e-05, ""smooth_B"": 1}",0.3654060661792755,0.0529244616627693,0.0293566938489675,0.0242183823138475,221952,467712,713472,983040,0.0242183823138475,3840,983040,-2.798628422684346
a9a,400,NOG-ZO__M-1__data_B_total-128__eta-9em05__smooth_B-2,"{""M"": 1, ""data_B_total"": 128, ""eta"": 9e-05, ""smooth_B"": 2}",0.3654060661792755,0.3654060661792755,0.3324431478977203,0.0523206256330013,198144,443904,689664,983040,0.0523206256330013,1920,983040,-1.5162857746899066
a9a,400,NOG-ZO__M-1__data_B_total-128__eta-9em05__smooth_B-4,"{""M"": 1, ""data_B_total"": 128, ""eta"": 9e-05, ""smooth_B"": 4}",0.3654060661792755,0.3654060661792755,0.3654060661792755,0.3654060661792755,199680,396288,691200,983040,0.3654060661792755,960,983040,-1.006746033700184
a9a,400,NOG-ZO__M-1__data_B_total-128__eta-9em05__smooth_B-8,"{""M"": 1, ""data_B_total"": 128, ""eta"": 9e-05, ""smooth_B"": 8}",0.3654060661792755,0.3654060661792755,0.3654060661792755,0.3654060661792755,202752,399360,595968,983040,0.3654060661792755,480,983040,-1.006746033700184
a9a,400,NOG-ZO__M-1__data_B_total-128__eta-9em06__smooth_B-1,"{""M"": 1, ""data_B_total"": 128, ""eta"": 9e-06, ""smooth_B"": 1}",0.3654060661792755,0.0632758066058158,0.1430422663688659,0.0582462921738624,221952,467712,713472,983040,0.0582462921738624,3840,983040,-2.138672056080213
a9a,400,NOG-ZO__M-1__data_B_total-128__eta-9em06__smooth_B-2,"{""M"": 1, ""data_B_total"": 128, ""eta"": 9e-06, ""smooth_B"": 2}",0.3654060661792755,0.3654060661792755,0.3654060661792755,0.1054621413350105,198144,443904,689664,983040,0.1054621413350105,1920,983040,-1.317410335368429
a9a,400,NOG-ZO__M-1__data_B_total-128__eta-9em06__smooth_B-4,"{""M"": 1, ""data_B_total"": 128, ""eta"": 9e-06, ""smooth_B"": 4}",0.3654060661792755,0.3654060661792755,0.3654060661792755,0.3654060661792755,199680,396288,691200,983040,0.3654060661792755,960,983040,-1.006746033700184
a9a,400,NOG-ZO__M-1__data_B_total-128__eta-9em06__smooth_B-8,"{""M"": 1, ""data_B_total"": 128, ""eta"": 9e-06, ""smooth_B"": 8}",0.3654060661792755,0.3654060661792755,0.3654060661792755,0.3654060661792755,202752,399360,595968,983040,0.3654060661792755,480,983040,-1.006746033700184
a9a,400,NOG-ZO__M-1__data_B_total-256__eta-0p0003__smooth_B-1,"{""M"": 1, ""data_B_total"": 256, ""eta"": 0.0003, ""smooth_B"": 1}",0.3654060661792755,0.3654060661792755,0.3654060661792755,0.0436600930988788,198144,443904,689664,983040,0.0436600930988788,1920,983040,-1.5378897241505554
a9a,400,NOG-ZO__M-1__data_B_total-256__eta-0p0003__smooth_B-2,"{""M"": 1, ""data_B_total"": 256, ""eta"": 0.0003, ""smooth_B"": 2}",0.3654060661792755,0.3654060661792755,0.3654060661792755,0.3654060661792755,199680,396288,691200,983040,0.3654060661792755,960,983040,-1.006746033700184
a9a,400,NOG-ZO__M-1__data_B_total-256__eta-0p0003__smooth_B-4,"{""M"": 1, ""data_B_total"": 256, ""eta"": 0.0003, ""smooth_B"": 4}",0.3654060661792755,0.3654060661792755,0.3654060661792755,0.3654060661792755,202752,399360,595968,983040,0.3654060661792755,480,983040,-1.006746033700184
a9a,400,NOG-ZO__M-1__data_B_total-256__eta-0p0003__smooth_B-8,"{""M"": 1, ""data_B_total"": 256, ""eta"": 0.0003, ""smooth_B"": 8}",0.3654060661792755,0.3654060661792755,0.3654060661792755,0.3654060661792755,12288,405504,405504,983040,0.3654060661792755,240,983040,-1.006746033700184
a9a,400,NOG-ZO__M-1__data_B_total-256__eta-0p0009__smooth_B-1,"{""M"": 1, ""data_B_total"": 256, ""eta"": 0.0009, ""smooth_B"": 1}",0.3654060661792755,0.3654060661792755,0.3654060661792755,0.3654060661792755,198144,443904,689664,983040,0.3654060661792755,1920,983040,-1.006746033700184
a9a,400,NOG-ZO__M-1__data_B_total-256__eta-0p0009__smooth_B-2,"{""M"": 1, ""data_B_total"": 256, ""eta"": 0.0009, ""smooth_B"": 2}",0.3654060661792755,0.3654060661792755,0.3654060661792755,0.3654060661792755,199680,396288,691200,983040,0.3654060661792755,960,983040,-1.006746033700184
a9a,400,NOG-ZO__M-1__data_B_total-256__eta-0p0009__smooth_B-4,"{""M"": 1, ""data_B_total"": 256, ""eta"": 0.0009, ""smooth_B"": 4}",0.3654060661792755,0.3654060661792755,0.3654060661792755,0.3654060661792755,202752,399360,595968,983040,0.3654060661792755,480,983040,-1.006746033700184
a9a,400,NOG-ZO__M-1__data_B_total-256__eta-0p0009__smooth_B-8,"{""M"": 1, ""data_B_total"": 256, ""eta"": 0.0009, ""smooth_B"": 8}",0.3654060661792755,0.3654060661792755,0.3654060661792755,0.3654060661792755,12288,405504,405504,983040,0.3654060661792755,240,983040,-1.006746033700184
a9a,400,NOG-ZO__M-1__data_B_total-256__eta-3em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 256, ""eta"": 3e-05, ""smooth_B"": 1}",0.3654060661792755,0.3654060661792755,0.3323490023612976,0.1104991436004638,198144,443904,689664,983040,0.1104991436004638,1920,983040,-1.3294523064867905
a9a,400,NOG-ZO__M-1__data_B_total-256__eta-3em05__smooth_B-2,"{""M"": 1, ""data_B_total"": 256, ""eta"": 3e-05, ""smooth_B"": 2}",0.3654060661792755,0.3654060661792755,0.3654060661792755,0.3654060661792755,199680,396288,691200,983040,0.3654060661792755,960,983040,-1.006746033700184
a9a,400,NOG-ZO__M-1__data_B_total-256__eta-3em05__smooth_B-4,"{""M"": 1, ""data_B_total"": 256, ""eta"": 3e-05, ""smooth_B"": 4}",0.3654060661792755,0.3654060661792755,0.3654060661792755,0.3654060661792755,202752,399360,595968,983040,0.3654060661792755,480,983040,-1.006746033700184
a9a,400,NOG-ZO__M-1__data_B_total-256__eta-3em05__smooth_B-8,"{""M"": 1, ""data_B_total"": 256, ""eta"": 3e-05, ""smooth_B"": 8}",0.3654060661792755,0.3654060661792755,0.3654060661792755,0.3654060661792755,12288,405504,405504,983040,0.3654060661792755,240,983040,-1.006746033700184
a9a,400,NOG-ZO__M-1__data_B_total-256__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 256, ""eta"": 9e-05, ""smooth_B"": 1}",0.3654060661792755,0.3654060661792755,0.3324431478977203,0.0523206256330013,198144,443904,689664,983040,0.0523206256330013,1920,983040,-1.5162857746899066
a9a,400,NOG-ZO__M-1__data_B_total-256__eta-9em05__smooth_B-2,"{""M"": 1, ""data_B_total"": 256, ""eta"": 9e-05, ""smooth_B"": 2}",0.3654060661792755,0.3654060661792755,0.3654060661792755,0.3654060661792755,199680,396288,691200,983040,0.3654060661792755,960,983040,-1.006746033700184
a9a,400,NOG-ZO__M-1__data_B_total-256__eta-9em05__smooth_B-4,"{""M"": 1, ""data_B_total"": 256, ""eta"": 9e-05, ""smooth_B"": 4}",0.3654060661792755,0.3654060661792755,0.3654060661792755,0.3654060661792755,202752,399360,595968,983040,0.3654060661792755,480,983040,-1.006746033700184
a9a,400,NOG-ZO__M-1__data_B_total-256__eta-9em05__smooth_B-8,"{""M"": 1, ""data_B_total"": 256, ""eta"": 9e-05, ""smooth_B"": 8}",0.3654060661792755,0.3654060661792755,0.3654060661792755,0.3654060661792755,12288,405504,405504,983040,0.3654060661792755,240,983040,-1.006746033700184
a9a,400,NOG-ZO__M-1__data_B_total-256__eta-9em06__smooth_B-1,"{""M"": 1, ""data_B_total"": 256, ""eta"": 9e-06, ""smooth_B"": 1}",0.3654060661792755,0.3654060661792755,0.3654060661792755,0.1054621413350105,198144,443904,689664,983040,0.1054621413350105,1920,983040,-1.317410335368429
a9a,400,NOG-ZO__M-1__data_B_total-256__eta-9em06__smooth_B-2,"{""M"": 1, ""data_B_total"": 256, ""eta"": 9e-06, ""smooth_B"": 2}",0.3654060661792755,0.3654060661792755,0.3654060661792755,0.3654060661792755,199680,396288,691200,983040,0.3654060661792755,960,983040,-1.006746033700184
