dataset,method,threshold,hit_count,seed_count,depth_first_hit_mean,depth_first_hit_std,work_first_hit_mean,work_first_hit_std
a9a,DGFM,0.015,20,20,3187.2,1415.5738877144304,407961.6,181193.4576274471
a9a,DGFM,0.02,20,20,1459.2,605.2369349010527,186777.6,77470.32766733474
a9a,DGFM,0.03,20,20,1036.8,450.9257845343231,132710.4,57718.50042039336
a9a,DGFM,0.05,20,20,768.0,0.0,98304.0,0.0
a9a,DGFM+,0.015,6,20,5361.0,943.277477733885,772096.0,136040.24025853525
a9a,DGFM+,0.02,17,20,4557.529411764706,1305.560325954294,656323.7647058824,188073.59168405642
a9a,DGFM+,0.03,20,20,2534.4,866.7465118415382,364953.6,124811.4977051815
a9a,DGFM+,0.05,20,20,1036.8,375.8288524259274,149299.2,54119.35474933354
a9a,ME-DOL-ZO,0.015,18,20,1606.0,770.818358095129,411136.0,197329.49967235303
a9a,ME-DOL-ZO,0.02,20,20,966.0,506.07093324324035,247296.0,129554.15891026953
a9a,ME-DOL-ZO,0.03,20,20,524.4,286.14137102230836,134246.4,73252.19098171094
a9a,ME-DOL-ZO,0.05,20,20,428.4,118.19270616020974,109670.4,30257.332777013693
a9a,NOG-ZO,0.015,0,20,,,,
a9a,NOG-ZO,0.02,0,20,,,,
a9a,NOG-ZO,0.03,20,20,3070.2,266.9803067840891,392985.6,34173.47926836341
a9a,NOG-ZO,0.05,20,20,2028.6,124.19610977889167,259660.8,15897.102051698133
ijcnn1,DGFM,0.015,20,20,2995.2,1111.542200349539,383385.6,142277.40164474098
ijcnn1,DGFM,0.02,20,20,1881.6,806.4481188650964,240844.8,103225.35921473234
ijcnn1,DGFM,0.03,20,20,1075.2,459.4506559611793,137625.6,58809.68396303095
ijcnn1,DGFM,0.05,20,20,768.0,0.0,98304.0,0.0
ijcnn1,DGFM+,0.015,2,20,6483.0,479.4183976444792,933888.0,69511.42501776236
ijcnn1,DGFM+,0.02,18,20,5137.666666666667,1501.636479860242,740010.6666666666,216457.4549714236
ijcnn1,DGFM+,0.03,20,20,1996.8,1039.379247942074,287539.2,149670.61170365868
ijcnn1,DGFM+,0.05,20,20,768.0,0.0,110592.0,0.0
ijcnn1,ME-DOL-ZO,0.015,20,20,1887.6,634.0438636660965,483225.6,162315.2290985207
ijcnn1,ME-DOL-ZO,0.02,20,20,1023.6,418.3383672025364,262041.6,107094.62200384932
ijcnn1,ME-DOL-ZO,0.03,20,20,447.6,140.67745863648892,114585.6,36013.429410941164
ijcnn1,ME-DOL-ZO,0.05,20,20,390.0,0.0,99840.0,0.0
ijcnn1,NOG-ZO,0.015,20,20,5148.6,676.2452373604054,659020.8,86559.3903821319
ijcnn1,NOG-ZO,0.02,20,20,3708.6,387.0197057406495,474700.8,49538.522334803136
ijcnn1,NOG-ZO,0.03,20,20,3468.6,29.54817654005249,443980.8,3782.166597126719
ijcnn1,NOG-ZO,0.05,20,20,3363.0,0.0,430464.0,0.0
