dataset,method,formal_seed,threshold,depth_first_hit,work_first_hit,hit
a9a,NOG-ZO,0,0.05,2115.0,270720.0,True
a9a,NOG-ZO,0,0.03,2883.0,369024.0,True
a9a,NOG-ZO,0,0.02,,,False
a9a,NOG-ZO,0,0.015,,,False
a9a,NOG-ZO,1,0.05,1923.0,246144.0,True
a9a,NOG-ZO,1,0.03,3075.0,393600.0,True
a9a,NOG-ZO,1,0.02,,,False
a9a,NOG-ZO,1,0.015,,,False
a9a,NOG-ZO,2,0.05,2115.0,270720.0,True
a9a,NOG-ZO,2,0.03,2883.0,369024.0,True
a9a,NOG-ZO,2,0.02,,,False
a9a,NOG-ZO,2,0.015,,,False
a9a,NOG-ZO,3,0.05,2115.0,270720.0,True
a9a,NOG-ZO,3,0.03,3075.0,393600.0,True
a9a,NOG-ZO,3,0.02,,,False
a9a,NOG-ZO,3,0.015,,,False
a9a,NOG-ZO,4,0.05,1923.0,246144.0,True
a9a,NOG-ZO,4,0.03,3075.0,393600.0,True
a9a,NOG-ZO,4,0.02,,,False
a9a,NOG-ZO,4,0.015,,,False
a9a,NOG-ZO,5,0.05,1923.0,246144.0,True
a9a,NOG-ZO,5,0.03,2787.0,356736.0,True
a9a,NOG-ZO,5,0.02,,,False
a9a,NOG-ZO,5,0.015,,,False
a9a,NOG-ZO,6,0.05,1923.0,246144.0,True
a9a,NOG-ZO,6,0.03,2979.0,381312.0,True
a9a,NOG-ZO,6,0.02,,,False
a9a,NOG-ZO,6,0.015,,,False
a9a,NOG-ZO,7,0.05,2211.0,283008.0,True
a9a,NOG-ZO,7,0.03,2979.0,381312.0,True
a9a,NOG-ZO,7,0.02,,,False
a9a,NOG-ZO,7,0.015,,,False
a9a,NOG-ZO,8,0.05,2115.0,270720.0,True
a9a,NOG-ZO,8,0.03,3651.0,467328.0,True
a9a,NOG-ZO,8,0.02,,,False
a9a,NOG-ZO,8,0.015,,,False
a9a,NOG-ZO,9,0.05,2211.0,283008.0,True
a9a,NOG-ZO,9,0.03,3075.0,393600.0,True
a9a,NOG-ZO,9,0.02,,,False
a9a,NOG-ZO,9,0.015,,,False
a9a,NOG-ZO,10,0.05,1923.0,246144.0,True
a9a,NOG-ZO,10,0.03,2979.0,381312.0,True
a9a,NOG-ZO,10,0.02,,,False
a9a,NOG-ZO,10,0.015,,,False
a9a,NOG-ZO,11,0.05,2211.0,283008.0,True
a9a,NOG-ZO,11,0.03,3363.0,430464.0,True
a9a,NOG-ZO,11,0.02,,,False
a9a,NOG-ZO,11,0.015,,,False
a9a,NOG-ZO,12,0.05,1923.0,246144.0,True
a9a,NOG-ZO,12,0.03,2691.0,344448.0,True
a9a,NOG-ZO,12,0.02,,,False
a9a,NOG-ZO,12,0.015,,,False
a9a,NOG-ZO,13,0.05,2211.0,283008.0,True
a9a,NOG-ZO,13,0.03,3651.0,467328.0,True
a9a,NOG-ZO,13,0.02,,,False
a9a,NOG-ZO,13,0.015,,,False
a9a,NOG-ZO,14,0.05,1923.0,246144.0,True
a9a,NOG-ZO,14,0.03,3075.0,393600.0,True
a9a,NOG-ZO,14,0.02,,,False
a9a,NOG-ZO,14,0.015,,,False
a9a,NOG-ZO,15,0.05,1923.0,246144.0,True
a9a,NOG-ZO,15,0.03,2883.0,369024.0,True
a9a,NOG-ZO,15,0.02,,,False
a9a,NOG-ZO,15,0.015,,,False
a9a,NOG-ZO,16,0.05,1923.0,246144.0,True
a9a,NOG-ZO,16,0.03,2691.0,344448.0,True
a9a,NOG-ZO,16,0.02,,,False
a9a,NOG-ZO,16,0.015,,,False
a9a,NOG-ZO,17,0.05,1923.0,246144.0,True
a9a,NOG-ZO,17,0.03,3363.0,430464.0,True
a9a,NOG-ZO,17,0.02,,,False
a9a,NOG-ZO,17,0.015,,,False
a9a,NOG-ZO,18,0.05,2115.0,270720.0,True
a9a,NOG-ZO,18,0.03,3171.0,405888.0,True
a9a,NOG-ZO,18,0.02,,,False
a9a,NOG-ZO,18,0.015,,,False
a9a,NOG-ZO,19,0.05,1923.0,246144.0,True
a9a,NOG-ZO,19,0.03,3075.0,393600.0,True
a9a,NOG-ZO,19,0.02,,,False
a9a,NOG-ZO,19,0.015,,,False
a9a,ME-DOL-ZO,0,0.05,774.0,198144.0,True
a9a,ME-DOL-ZO,0,0.03,774.0,198144.0,True
a9a,ME-DOL-ZO,0,0.02,774.0,198144.0,True
a9a,ME-DOL-ZO,0,0.015,1158.0,296448.0,True
a9a,ME-DOL-ZO,1,0.05,390.0,99840.0,True
a9a,ME-DOL-ZO,1,0.03,390.0,99840.0,True
a9a,ME-DOL-ZO,1,0.02,774.0,198144.0,True
a9a,ME-DOL-ZO,1,0.015,,,False
a9a,ME-DOL-ZO,2,0.05,390.0,99840.0,True
a9a,ME-DOL-ZO,2,0.03,390.0,99840.0,True
a9a,ME-DOL-ZO,2,0.02,774.0,198144.0,True
a9a,ME-DOL-ZO,2,0.015,774.0,198144.0,True
a9a,ME-DOL-ZO,3,0.05,390.0,99840.0,True
a9a,ME-DOL-ZO,3,0.03,390.0,99840.0,True
a9a,ME-DOL-ZO,3,0.02,390.0,99840.0,True
a9a,ME-DOL-ZO,3,0.015,1542.0,394752.0,True
a9a,ME-DOL-ZO,4,0.05,390.0,99840.0,True
a9a,ME-DOL-ZO,4,0.03,774.0,198144.0,True
a9a,ME-DOL-ZO,4,0.02,1158.0,296448.0,True
a9a,ME-DOL-ZO,4,0.015,1542.0,394752.0,True
a9a,ME-DOL-ZO,5,0.05,390.0,99840.0,True
a9a,ME-DOL-ZO,5,0.03,390.0,99840.0,True
a9a,ME-DOL-ZO,5,0.02,1158.0,296448.0,True
a9a,ME-DOL-ZO,5,0.015,2310.0,591360.0,True
a9a,ME-DOL-ZO,6,0.05,774.0,198144.0,True
a9a,ME-DOL-ZO,6,0.03,774.0,198144.0,True
a9a,ME-DOL-ZO,6,0.02,1158.0,296448.0,True
a9a,ME-DOL-ZO,6,0.015,1158.0,296448.0,True
a9a,ME-DOL-ZO,7,0.05,390.0,99840.0,True
a9a,ME-DOL-ZO,7,0.03,390.0,99840.0,True
a9a,ME-DOL-ZO,7,0.02,774.0,198144.0,True
a9a,ME-DOL-ZO,7,0.015,1926.0,493056.0,True
a9a,ME-DOL-ZO,8,0.05,390.0,99840.0,True
a9a,ME-DOL-ZO,8,0.03,390.0,99840.0,True
a9a,ME-DOL-ZO,8,0.02,1542.0,394752.0,True
a9a,ME-DOL-ZO,8,0.015,1926.0,493056.0,True
a9a,ME-DOL-ZO,9,0.05,390.0,99840.0,True
a9a,ME-DOL-ZO,9,0.03,390.0,99840.0,True
a9a,ME-DOL-ZO,9,0.02,1926.0,493056.0,True
a9a,ME-DOL-ZO,9,0.015,,,False
a9a,ME-DOL-ZO,10,0.05,390.0,99840.0,True
a9a,ME-DOL-ZO,10,0.03,390.0,99840.0,True
a9a,ME-DOL-ZO,10,0.02,390.0,99840.0,True
a9a,ME-DOL-ZO,10,0.015,1542.0,394752.0,True
a9a,ME-DOL-ZO,11,0.05,390.0,99840.0,True
a9a,ME-DOL-ZO,11,0.03,774.0,198144.0,True
a9a,ME-DOL-ZO,11,0.02,774.0,198144.0,True
a9a,ME-DOL-ZO,11,0.015,1158.0,296448.0,True
a9a,ME-DOL-ZO,12,0.05,390.0,99840.0,True
a9a,ME-DOL-ZO,12,0.03,390.0,99840.0,True
a9a,ME-DOL-ZO,12,0.02,1926.0,493056.0,True
a9a,ME-DOL-ZO,12,0.015,3462.0,886272.0,True
a9a,ME-DOL-ZO,13,0.05,390.0,99840.0,True
a9a,ME-DOL-ZO,13,0.03,390.0,99840.0,True
a9a,ME-DOL-ZO,13,0.02,390.0,99840.0,True
