epsilon,v4_NOG-FO_seeds,v4_NOG-FO_hit,v4_NOG-FO_hit_rate,v4_NOG-FO_depth_first_hit,v4_NOG-FO_depth_capped,v4_NOG-FO_work_first_hit,v4_NOG-FO_work_capped,current_NOG-opt_seeds,current_NOG-opt_hit,current_NOG-opt_hit_rate,current_NOG-opt_depth_first_hit,current_NOG-opt_depth_capped,current_NOG-opt_work_first_hit,current_NOG-opt_work_capped,current_NOG-nonopt_seeds,current_NOG-nonopt_hit,current_NOG-nonopt_hit_rate,current_NOG-nonopt_depth_first_hit,current_NOG-nonopt_depth_capped,current_NOG-nonopt_work_first_hit,current_NOG-nonopt_work_capped,v4_data_B_total,current_data_B_total
0.2,20,20,1,135.8,135.8,1086.4,1086.4,20,20,1,146,962,1168,7696,20,20,1,74,962,592,7696,8,8
0.18,20,20,1,162.6,162.6,1300.8,1300.8,20,20,1,170,962,1360,7696,20,20,1,98,962,784,7696,8,8
0.16,20,20,1,187.2,187.2,1497.6,1497.6,20,20,1,194,962,1552,7696,20,20,1,110,962,880,7696,8,8
0.14,20,20,1,211.2,211.2,1689.6,1689.6,20,20,1,218,962,1744,7696,20,20,1,122,962,976,7696,8,8
0.12,20,20,1,235.6,235.6,1884.8,1884.8,20,20,1,242,962,1936,7696,20,20,1,134,962,1072,7696,8,8
0.1,20,20,1,260.5,260.5,2084,2084,20,20,1,267.2,962,2137.6,7696,20,20,1,146,962,1168,7696,8,8
0.09,20,20,1,274.1,274.1,2192.8,2192.8,20,20,1,287.6,962,2300.8,7696,20,20,1,146,962,1168,7696,8,8
0.08,20,20,1,288.6,288.6,2308.8,2308.8,20,20,1,300.8,962,2406.4,7696,20,20,1,161.6,962,1292.8,7696,8,8
0.07,20,20,1,304.9,304.9,2439.2,2439.2,20,20,1,314,962,2512,7696,20,20,1,170,962,1360,7696,8,8
0.06,20,20,1,323.3,323.3,2586.4,2586.4,20,20,1,334.4,962,2675.2,7696,20,20,1,170,962,1360,7696,8,8
0.05,20,20,1,345.7,345.7,2765.6,2765.6,20,20,1,358.4,962,2867.2,7696,20,20,1,183.2,962,1465.6,7696,8,8
0.04,20,20,1,372.4,372.4,2979.2,2979.2,20,20,1,382.4,962,3059.2,7696,20,20,1,194,962,1552,7696,8,8
0.03,20,20,1,408.4,408.4,3267.2,3267.2,20,20,1,418.4,962,3347.2,7696,20,20,1,206,962,1648,7696,8,8
0.025,20,20,1,429.8,429.8,3438.4,3438.4,20,20,1,437.6,962,3500.8,7696,20,20,1,218,962,1744,7696,8,8
0.02,20,20,1,459.9,459.9,3679.2,3679.2,20,20,1,464,962,3712,7696,20,20,1,230,962,1840,7696,8,8
0.018,20,20,1,476.6,476.6,3812.8,3812.8,20,20,1,484.4,962,3875.2,7696,20,20,1,237.2,962,1897.6,7696,8,8
0.016,20,20,1,492.4,492.4,3939.2,3939.2,20,20,1,501.2,962,4009.6,7696,20,20,1,250.4,962,2003.2,7696,8,8
0.015,20,20,1,499.2,499.2,3993.6,3993.6,20,20,1,513.2,962,4105.6,7696,20,20,1,275.6,962,2204.8,7696,8,8
0.014,20,20,1,508,508,4064,4064,20,20,1,526.4,962,4211.2,7696,20,20,1,287.6,962,2300.8,7696,8,8
0.013,20,20,1,518.9,518.9,4151.2,4151.2,20,20,1,544.4,962,4355.2,7696,20,20,1,334.4,962,2675.2,7696,8,8
0.012,20,20,1,538.9,538.9,4311.2,4311.2,20,20,1,561.2,962,4489.6,7696,20,17,0.85,593.5294118,962,4748.235294,7696,8,8
0.0115,20,20,1,546,546,4368,4368,20,20,1,569.6,962,4556.8,7696,20,7,0.35,674,962,5392,7696,8,8
0.011,20,20,1,566.2,566.2,4529.6,4529.6,20,20,1,586.4,962,4691.2,7696,20,1,0.05,866,962,6928,7696,8,8
0.01075,20,20,1,574.1,574.1,4592.8,4592.8,20,20,1,597.2,962,4777.6,7696,20,0,0,,962,,7696,8,8
0.0105,20,20,1,587.2,587.2,4697.6,4697.6,20,20,1,612.8,962,4902.4,7696,20,0,0,,962,,7696,8,8
0.01025,20,20,1,400.4,400.4,6406.4,6406.4,20,20,1,624.8,962,4998.4,7696,20,0,0,,962,,7696,16,8
0.01,20,20,1,408.9,408.9,6542.4,6542.4,20,20,1,653.6,962,5228.8,7696,20,0,0,,962,,7696,16,8
0.0095,20,20,1,418.7,418.7,6699.2,6699.2,20,15,0.75,739.6,962,5916.8,7696,20,0,0,,962,,7696,16,8
0.009,20,20,1,451.4,451.4,7222.4,7222.4,20,8,0.4,770,962,6160,7696,20,0,0,,962,,7696,16,8
0.008,20,18,0.9,626.1111111,659.7,10017.77778,10555.2,20,1,0.05,866,962,6928,7696,20,0,0,,962,,7696,16,8
0.007,20,2,0.1,843,950.1,13488,15201.6,20,0,0,,962,,7696,20,0,0,,962,,7696,16,8
0.006,20,0,0,,962,,15392,20,0,0,,962,,7696,20,0,0,,962,,7696,16,8
0.005,20,0,0,,962,,15392,20,0,0,,962,,7696,20,0,0,,962,,7696,16,8
0.004,20,0,0,,962,,15392,20,0,0,,962,,7696,20,0,0,,962,,7696,16,8
0.003,20,0,0,,962,,15392,20,0,0,,962,,7696,20,0,0,,962,,7696,16,8
0.002,20,0,0,,962,,15392,20,0,0,,962,,7696,20,0,0,,962,,7696,16,8
