method,epsilon,seed_count,hit_count,hit_rate,first_hit_depth_mean,first_hit_depth_sd,first_hit_work_mean,first_hit_work_sd,capped_depth_mean,capped_depth_sd,capped_work_mean,capped_work_sd,source,scope
current_NOG-nonopt,0.2,20,20,1,74,0,592,0,962,0,7696,0,current_ablation_raw_trajectories,
current_NOG-opt,0.2,20,20,1,146,0,1168,0,962,0,7696,0,current_ablation_raw_trajectories,
v4_NOG-FO,0.2,20,20,1,135.8,1.704483252,1086.4,13.63586602,135.8,,1086.4,,theory_validation_v4_formal_summary,primary
current_NOG-nonopt,0.18,20,20,1,98,0,784,0,962,0,7696,0,current_ablation_raw_trajectories,
current_NOG-opt,0.18,20,20,1,170,0,1360,0,962,0,7696,0,current_ablation_raw_trajectories,
v4_NOG-FO,0.18,20,20,1,162.6,1.602629418,1300.8,12.82103535,162.6,,1300.8,,theory_validation_v4_formal_summary,primary
current_NOG-nonopt,0.16,20,20,1,110,12.31174023,880,98.4939218,962,0,7696,0,current_ablation_raw_trajectories,
current_NOG-opt,0.16,20,20,1,194,0,1552,0,962,0,7696,0,current_ablation_raw_trajectories,
v4_NOG-FO,0.16,20,20,1,187.2,1.7651599,1497.6,14.1212792,187.2,,1497.6,,theory_validation_v4_formal_summary,primary
current_NOG-nonopt,0.14,20,20,1,122,0,976,0,962,0,7696,0,current_ablation_raw_trajectories,
current_NOG-opt,0.14,20,20,1,218,0,1744,0,962,0,7696,0,current_ablation_raw_trajectories,
v4_NOG-FO,0.14,20,20,1,211.2,1.989445837,1689.6,15.91556669,211.2,,1689.6,,theory_validation_v4_formal_summary,primary
current_NOG-nonopt,0.12,20,20,1,134,12.31174023,1072,98.4939218,962,0,7696,0,current_ablation_raw_trajectories,
current_NOG-opt,0.12,20,20,1,242,0,1936,0,962,0,7696,0,current_ablation_raw_trajectories,
v4_NOG-FO,0.12,20,20,1,235.6,2.303315688,1884.8,18.4265255,235.6,,1884.8,,theory_validation_v4_formal_summary,primary
current_NOG-nonopt,0.1,20,20,1,146,0,1168,0,962,0,7696,0,current_ablation_raw_trajectories,
current_NOG-opt,0.1,20,20,1,267.2,5.366563146,2137.6,42.93250517,962,0,7696,0,current_ablation_raw_trajectories,
