dimension,method,formal_seed,epsilon,scope,hit,first_hit_depth,first_hit_work,first_hit_stat_proxy,censor_depth,censor_work,capped_depth,capped_work
25,NOG-ZO,0,0.05,primary,True,148.0,151552.0,0.0487342327833175,960.0,983040.0,148.0,151552.0
25,NOG-ZO,0,0.03,primary,True,160.0,163840.0,0.027044316753745,960.0,983040.0,160.0,163840.0
25,NOG-ZO,0,0.02,descriptive,True,168.0,172032.0,0.0157148241996765,960.0,983040.0,168.0,172032.0
25,NOG-ZO,0,0.018,descriptive,True,168.0,172032.0,0.0157148241996765,960.0,983040.0,168.0,172032.0
25,NOG-ZO,0,0.016,descriptive,True,168.0,172032.0,0.0157148241996765,960.0,983040.0,168.0,172032.0
25,NOG-ZO,0,0.015,descriptive,True,172.0,176128.0,0.0130742359906435,960.0,983040.0,172.0,176128.0
25,NOG-ZO,0,0.01,descriptive,False,,,,960.0,983040.0,960.0,983040.0
25,NOG-ZO,1,0.05,primary,True,148.0,151552.0,0.0444225035607814,960.0,983040.0,148.0,151552.0
25,NOG-ZO,1,0.03,primary,True,156.0,159744.0,0.0286541897803545,960.0,983040.0,156.0,159744.0
25,NOG-ZO,1,0.02,descriptive,True,164.0,167936.0,0.015692776069045,960.0,983040.0,164.0,167936.0
25,NOG-ZO,1,0.018,descriptive,True,164.0,167936.0,0.015692776069045,960.0,983040.0,164.0,167936.0
25,NOG-ZO,1,0.016,descriptive,True,164.0,167936.0,0.015692776069045,960.0,983040.0,164.0,167936.0
25,NOG-ZO,1,0.015,descriptive,True,168.0,172032.0,0.0127769345417618,960.0,983040.0,168.0,172032.0
25,NOG-ZO,1,0.01,descriptive,False,,,,960.0,983040.0,960.0,983040.0
25,NOG-ZO,2,0.05,primary,True,148.0,151552.0,0.0455188527703285,960.0,983040.0,148.0,151552.0
25,NOG-ZO,2,0.03,primary,True,160.0,163840.0,0.0232135746628046,960.0,983040.0,160.0,163840.0
25,NOG-ZO,2,0.02,descriptive,True,164.0,167936.0,0.0179509539157152,960.0,983040.0,164.0,167936.0
25,NOG-ZO,2,0.018,descriptive,True,164.0,167936.0,0.0179509539157152,960.0,983040.0,164.0,167936.0
25,NOG-ZO,2,0.016,descriptive,True,168.0,172032.0,0.0132291875779628,960.0,983040.0,168.0,172032.0
25,NOG-ZO,2,0.015,descriptive,True,168.0,172032.0,0.0132291875779628,960.0,983040.0,168.0,172032.0
25,NOG-ZO,2,0.01,descriptive,False,,,,960.0,983040.0,960.0,983040.0
25,NOG-ZO,3,0.05,primary,True,148.0,151552.0,0.0494789108633995,960.0,983040.0,148.0,151552.0
25,NOG-ZO,3,0.03,primary,True,160.0,163840.0,0.0263574905693531,960.0,983040.0,160.0,163840.0
25,NOG-ZO,3,0.02,descriptive,True,164.0,167936.0,0.0190900638699531,960.0,983040.0,164.0,167936.0
25,NOG-ZO,3,0.018,descriptive,True,168.0,172032.0,0.0128198778256773,960.0,983040.0,168.0,172032.0
