dimension,method,epsilon,scope,seeds,hits,hit_rate,mean_first_hit_depth,sd_first_hit_depth,mean_first_hit_work,sd_first_hit_work,mean_capped_depth,sd_capped_depth,mean_capped_work,sd_capped_work
25,NOG-ZO,0.05,primary,20,20,1.0,148.2,0.8944271909999159,151756.8,915.8934435839138,148.2,0.8944271909999159,151756.8,915.8934435839138
25,NOG-ZO,0.03,primary,20,20,1.0,159.4,1.4653901941300929,163225.6,1500.559558789215,159.4,1.4653901941300929,163225.6,1500.559558789215
25,NOG-ZO,0.02,descriptive,20,20,1.0,164.6,1.465390194130093,168550.4,1500.5595587892153,164.6,1.465390194130093,168550.4,1500.5595587892153
25,NOG-ZO,0.018,descriptive,20,20,1.0,166.2,2.0416711421361615,170188.8,2090.6712495474294,166.2,2.0416711421361615,170188.8,2090.6712495474294
25,NOG-ZO,0.016,descriptive,20,19,0.95,167.57894736842104,1.261207070569223,171600.84210526315,1291.4760402628845,207.2,177.19498626624494,212172.8,181447.66593663482
25,NOG-ZO,0.015,descriptive,20,18,0.9,168.44444444444446,1.2935233335271092,172487.11111111112,1324.5678935317599,247.6,243.63873168884163,253542.4,249486.06124937383
25,NOG-ZO,0.01,descriptive,20,0,0.0,,,,,960.0,0.0,983040.0,0.0
25,ME-DOL-ZO,0.05,primary,20,20,1.0,342.6,14.812512491666952,87705.6,3792.00319786674,342.6,14.812512491666952,87705.6,3792.00319786674
25,ME-DOL-ZO,0.03,primary,20,20,1.0,438.6,19.261087032777006,112281.6,4930.8382803909135,438.6,19.261087032777006,112281.6,4930.8382803909135
25,ME-DOL-ZO,0.02,descriptive,20,20,1.0,547.8,52.707334953445866,140236.8,13493.077748082142,547.8,52.707334953445866,140236.8,13493.077748082142
25,ME-DOL-ZO,0.018,descriptive,20,20,1.0,582.0,53.02630925950071,148992.0,13574.73517043218,582.0,53.02630925950071,148992.0,13574.73517043218
25,ME-DOL-ZO,0.016,descriptive,20,20,1.0,646.8,87.48269001712042,165580.8,22395.568644382827,646.8,87.48269001712042,165580.8,22395.568644382827
25,ME-DOL-ZO,0.015,descriptive,20,20,1.0,690.6,142.11796434467277,176793.6,36382.19887223623,690.6,142.11796434467277,176793.6,36382.19887223623
25,ME-DOL-ZO,0.01,descriptive,20,17,0.85,1786.5882352941176,1024.7438130347218,457366.5882352941,262334.4161368888,2094.6,1204.2397208459608,536217.6,308285.368536566
25,DGFM,0.05,primary,20,20,1.0,936.8,38.40175434589031,119910.4,4915.42455627396,936.8,38.40175434589031,119910.4,4915.42455627396
25,DGFM,0.03,primary,20,20,1.0,1205.2,52.2520208624559,154265.6,6688.258670394355,1205.2,52.2520208624559,154265.6,6688.258670394355
25,DGFM,0.02,descriptive,20,20,1.0,1432.0,73.13721782771715,183296.0,9361.563881947795,1432.0,73.13721782771715,183296.0,9361.563881947795
25,DGFM,0.018,descriptive,20,20,1.0,1502.4,86.06876076107619,192307.2,11016.801377417753,1502.4,86.06876076107619,192307.2,11016.801377417753
25,DGFM,0.016,descriptive,20,20,1.0,1594.8,114.27096145381357,204134.4,14626.683066088137,1594.8,114.27096145381357,204134.4,14626.683066088137
25,DGFM,0.015,descriptive,20,20,1.0,1649.2,120.21804751104727,211097.6,15387.910081414051,1649.2,120.21804751104727,211097.6,15387.910081414051
25,DGFM,0.01,descriptive,20,20,1.0,2071.6,270.1170116819746,265164.8,34574.97749529275,2071.6,270.1170116819746,265164.8,34574.97749529275
25,DGFM+,0.05,primary,20,20,1.0,1050.0,98.89920440316467,143078.4,13421.13001125268,1050.0,98.89920440316467,143078.4,13421.13001125268
25,DGFM+,0.03,primary,20,20,1.0,1730.8,442.54783862728806,235712.0,60193.26650224697,1730.8,442.54783862728806,235712.0,60193.26650224697
25,DGFM+,0.02,descriptive,20,8,0.4,3768.0,2102.863354028094,512928.0,286008.6829610997,5841.6,2155.594102989268,794995.2,293206.6068146272
25,DGFM+,0.018,descriptive,20,1,0.05,4904.0,0.0,667648.0,0.0,7108.0,518.7677707799512,967270.4,70523.79515596137
25,DGFM+,0.016,descriptive,20,0,0.0,,,,,7224.0,0.0,983040.0,0.0
25,DGFM+,0.015,descriptive,20,0,0.0,,,,,7224.0,0.0,983040.0,0.0
25,DGFM+,0.01,descriptive,20,0,0.0,,,,,7224.0,0.0,983040.0,0.0
50,NOG-ZO,0.05,primary,20,20,1.0,182.2,2.0416711421361615,186572.8,2090.6712495474294,182.2,2.0416711421361615,186572.8,2090.6712495474294
50,NOG-ZO,0.03,primary,20,20,1.0,194.8,2.2849622823099174,199475.2,2339.8013770853554,194.8,2.2849622823099174,199475.2,2339.8013770853554
50,NOG-ZO,0.02,descriptive,20,20,1.0,201.8,2.4192212753171978,206643.2,2477.2825859248105,201.8,2.4192212753171978,206643.2,2477.2825859248105
50,NOG-ZO,0.018,descriptive,20,20,1.0,203.4,1.9574419397183718,208281.6,2004.4205462716127,203.4,1.9574419397183718,208281.6,2004.4205462716127
50,NOG-ZO,0.016,descriptive,20,19,0.95,205.26315789473685,2.684153192828811,210189.47368421053,2748.5728694567024,243.0,168.78450914202935,248832.0,172835.33736143805
50,NOG-ZO,0.015,descriptive,20,18,0.9,206.66666666666666,2.3763541031440183,211626.66666666666,2433.3866016194747,282.0,231.88200266060912,288768.0,237447.17072446374
50,NOG-ZO,0.01,descriptive,20,0,0.0,,,,,960.0,0.0,983040.0,0.0
50,ME-DOL-ZO,0.05,primary,20,20,1.0,418.2,11.857043210017013,107059.2,3035.4030617643552,418.2,11.857043210017013,107059.2,3035.4030617643552
50,ME-DOL-ZO,0.03,primary,20,20,1.0,543.0,28.04132289093516,139008.0,7178.578660079401,543.0,28.04132289093516,139008.0,7178.578660079401
50,ME-DOL-ZO,0.02,descriptive,20,20,1.0,665.4,42.73344554820091,170342.4,10939.762060339433,665.4,42.73344554820091,170342.4,10939.762060339433
50,ME-DOL-ZO,0.018,descriptive,20,20,1.0,709.2,56.00150373920893,181555.2,14336.384957237486,709.2,56.00150373920893,181555.2,14336.384957237486
50,ME-DOL-ZO,0.016,descriptive,20,20,1.0,776.4,84.50375264168045,198758.4,21632.960676270195,776.4,84.50375264168045,198758.4,21632.960676270195
50,ME-DOL-ZO,0.015,descriptive,20,20,1.0,870.0,137.40144793537237,222720.0,35174.77067145533,870.0,137.40144793537237,222720.0,35174.77067145533
50,ME-DOL-ZO,0.01,descriptive,20,0,0.0,,,,,3840.0,0.0,983040.0,0.0
50,DGFM,0.05,primary,20,20,1.0,1156.8,29.639234310729346,148070.4,3793.8219917733563,1156.8,29.639234310729346,148070.4,3793.8219917733563
50,DGFM,0.03,primary,20,20,1.0,1480.8,56.56258759807117,189542.4,7240.0112125531095,1480.8,56.56258759807117,189542.4,7240.0112125531095
50,DGFM,0.02,descriptive,20,20,1.0,1773.2,83.31146379700695,226969.6,10663.86736601689,1773.2,83.31146379700695,226969.6,10663.86736601689
50,DGFM,0.018,descriptive,20,20,1.0,1884.0,111.68376407470666,241152.0,14295.521801562452,1884.0,111.68376407470666,241152.0,14295.521801562452
50,DGFM,0.016,descriptive,20,20,1.0,2001.6,142.20163593699579,256204.8,18201.80939993546,2001.6,142.20163593699579,256204.8,18201.80939993546
50,DGFM,0.015,descriptive,20,20,1.0,2072.8,164.17500290527596,265318.4,21014.400371875323,2072.8,164.17500290527596,265318.4,21014.400371875323
50,DGFM,0.01,descriptive,20,20,1.0,3412.8,1119.6613021708606,436838.4,143316.64667787016,3412.8,1119.6613021708606,436838.4,143316.64667787016
50,DGFM+,0.05,primary,20,20,1.0,1238.8,111.1933356579289,168896.0,15119.606566866814,1238.8,111.1933356579289,168896.0,15119.606566866814
50,DGFM+,0.03,primary,20,20,1.0,1893.2,253.30522466405083,257804.8,34487.962973523936,1893.2,253.30522466405083,257804.8,34487.962973523936
50,DGFM+,0.02,descriptive,20,0,0.0,,,,,7224.0,0.0,983040.0,0.0
50,DGFM+,0.018,descriptive,20,0,0.0,,,,,7224.0,0.0,983040.0,0.0
50,DGFM+,0.016,descriptive,20,0,0.0,,,,,7224.0,0.0,983040.0,0.0
50,DGFM+,0.015,descriptive,20,0,0.0,,,,,7224.0,0.0,983040.0,0.0
50,DGFM+,0.01,descriptive,20,0,0.0,,,,,7224.0,0.0,983040.0,0.0
200,NOG-ZO,0.05,primary,20,20,1.0,250.0,2.051956704170308,256000.0,2101.2036650703953,250.0,2.051956704170308,256000.0,2101.2036650703953
200,NOG-ZO,0.03,primary,20,20,1.0,266.0,2.051956704170308,272384.0,2101.2036650703953,266.0,2.051956704170308,272384.0,2101.2036650703953
200,NOG-ZO,0.02,descriptive,20,20,1.0,276.6,2.6832815729997477,283238.4,2747.6803307517416,276.6,2.6832815729997477,283238.4,2747.6803307517416
200,NOG-ZO,0.018,descriptive,20,19,0.95,279.7894736842105,2.4850429767895825,286504.4210526316,2544.6840082325325,313.8,152.11892854294183,321331.2,155769.78282797243
200,NOG-ZO,0.016,descriptive,20,0,0.0,,,,,960.0,0.0,983040.0,0.0
200,NOG-ZO,0.015,descriptive,20,0,0.0,,,,,960.0,0.0,983040.0,0.0
200,NOG-ZO,0.01,descriptive,20,0,0.0,,,,,960.0,0.0,983040.0,0.0
200,ME-DOL-ZO,0.05,primary,20,20,1.0,644.4,16.563752435267862,164966.4,4240.320623428573,644.4,16.563752435267862,164966.4,4240.320623428573
200,ME-DOL-ZO,0.03,primary,20,20,1.0,784.8,24.125985117601658,200908.8,6176.2521901060245,784.8,24.125985117601658,200908.8,6176.2521901060245
200,ME-DOL-ZO,0.02,descriptive,20,20,1.0,975.6,41.95034658912091,249753.6,10739.288726814953,975.6,41.95034658912091,249753.6,10739.288726814953
200,ME-DOL-ZO,0.018,descriptive,20,20,1.0,1089.0,82.11801520405027,278784.0,21022.211892236868,1089.0,82.11801520405027,278784.0,21022.211892236868
200,ME-DOL-ZO,0.016,descriptive,20,19,0.95,1994.5263157894738,431.3621021344999,510598.7368421053,110428.69814643197,2086.8,588.700763948616,534220.8,150707.3955708457
200,ME-DOL-ZO,0.015,descriptive,20,5,0.25,3403.2,192.11246706031338,871219.2,49180.791567440225,3730.8,213.13539062493146,955084.8,54562.659999982454
200,ME-DOL-ZO,0.01,descriptive,20,0,0.0,,,,,3840.0,0.0,983040.0,0.0
200,DGFM,0.05,primary,20,20,1.0,1388.8,35.1502040122851,177766.4,4499.226113572493,1388.8,35.1502040122851,177766.4,4499.226113572493
200,DGFM,0.03,primary,20,20,1.0,1774.0,56.56109877589758,227072.0,7239.82064331489,1774.0,56.56109877589758,227072.0,7239.82064331489
200,DGFM,0.02,descriptive,20,20,1.0,2198.4,95.6343915236839,281395.2,12241.20211503154,2198.4,95.6343915236839,281395.2,12241.20211503154
