method,epsilon,seeds,single_checkpoint_hits,confirmed_two_checkpoint_hits,transient_only_hits,single_hit_rate,confirmed_hit_rate
NOG-ZO,0.035,20,20,20,0,1.0,1.0
NOG-ZO,0.0325,20,20,20,0,1.0,1.0
NOG-ZO,0.03,20,20,20,0,1.0,1.0
NOG-ZO,0.0295,20,20,20,0,1.0,1.0
NOG-ZO,0.029,20,20,20,0,1.0,1.0
NOG-ZO,0.0285,20,20,20,0,1.0,1.0
NOG-ZO,0.028,20,20,20,0,1.0,1.0
NOG-ZO,0.0275,20,20,20,0,1.0,1.0
NOG-ZO,0.027,20,20,20,0,1.0,1.0
NOG-ZO,0.0265,20,20,20,0,1.0,1.0
NOG-ZO,0.026,20,20,20,0,1.0,1.0
NOG-ZO,0.0255,20,20,20,0,1.0,1.0
NOG-ZO,0.025,20,20,20,0,1.0,1.0
NOG-ZO,0.0225,20,20,20,0,1.0,1.0
NOG-ZO,0.02,20,20,20,0,1.0,1.0
NOG-ZO,0.0195,20,20,20,0,1.0,1.0
NOG-ZO,0.019,20,20,20,0,1.0,1.0
NOG-ZO,0.0185,20,20,20,0,1.0,1.0
NOG-ZO,0.018,20,20,20,0,1.0,1.0
NOG-ZO,0.0175,20,20,20,0,1.0,1.0
NOG-ZO,0.017,20,20,20,0,1.0,1.0
NOG-ZO,0.0165,20,20,20,0,1.0,1.0
NOG-ZO,0.016,20,20,18,2,1.0,0.9
NOG-ZO,0.0155,20,18,16,2,0.9,0.8
NOG-ZO,0.015,20,17,11,6,0.85,0.55
NOG-ZO,0.0145,20,12,6,6,0.6,0.3
NOG-ZO,0.014,20,7,1,6,0.35,0.05
NOG-ZO,0.0135,20,2,1,1,0.1,0.05
NOG-ZO,0.013,20,0,0,0,0.0,0.0
NOG-ZO,0.0125,20,0,0,0,0.0,0.0
NOG-ZO,0.012,20,0,0,0,0.0,0.0
NOG-ZO,0.0115,20,0,0,0,0.0,0.0
NOG-ZO,0.011,20,0,0,0,0.0,0.0
NOG-ZO,0.01075,20,0,0,0,0.0,0.0
NOG-ZO,0.0105,20,0,0,0,0.0,0.0
NOG-ZO,0.01025,20,0,0,0,0.0,0.0
NOG-ZO,0.01,20,0,0,0,0.0,0.0
NOG-ZO,0.0095,20,0,0,0,0.0,0.0
NOG-ZO,0.009,20,0,0,0,0.0,0.0
ME-DOL-ZO,0.035,20,20,20,0,1.0,1.0
ME-DOL-ZO,0.0325,20,20,20,0,1.0,1.0
ME-DOL-ZO,0.03,20,20,20,0,1.0,1.0
ME-DOL-ZO,0.0295,20,20,20,0,1.0,1.0
ME-DOL-ZO,0.029,20,20,20,0,1.0,1.0
ME-DOL-ZO,0.0285,20,20,20,0,1.0,1.0
ME-DOL-ZO,0.028,20,20,20,0,1.0,1.0
ME-DOL-ZO,0.0275,20,20,20,0,1.0,1.0
ME-DOL-ZO,0.027,20,20,20,0,1.0,1.0
ME-DOL-ZO,0.0265,20,20,20,0,1.0,1.0
ME-DOL-ZO,0.026,20,20,20,0,1.0,1.0
ME-DOL-ZO,0.0255,20,20,20,0,1.0,1.0
ME-DOL-ZO,0.025,20,20,20,0,1.0,1.0
ME-DOL-ZO,0.0225,20,20,20,0,1.0,1.0
ME-DOL-ZO,0.02,20,20,20,0,1.0,1.0
ME-DOL-ZO,0.0195,20,20,20,0,1.0,1.0
ME-DOL-ZO,0.019,20,20,20,0,1.0,1.0
ME-DOL-ZO,0.0185,20,20,20,0,1.0,1.0
ME-DOL-ZO,0.018,20,20,20,0,1.0,1.0
ME-DOL-ZO,0.0175,20,20,20,0,1.0,1.0
ME-DOL-ZO,0.017,20,20,20,0,1.0,1.0
ME-DOL-ZO,0.0165,20,20,20,0,1.0,1.0
ME-DOL-ZO,0.016,20,20,20,0,1.0,1.0
ME-DOL-ZO,0.0155,20,20,20,0,1.0,1.0
ME-DOL-ZO,0.015,20,20,20,0,1.0,1.0
ME-DOL-ZO,0.0145,20,20,20,0,1.0,1.0
ME-DOL-ZO,0.014,20,20,20,0,1.0,1.0
ME-DOL-ZO,0.0135,20,20,20,0,1.0,1.0
ME-DOL-ZO,0.013,20,15,12,3,0.75,0.6
ME-DOL-ZO,0.0125,20,8,6,2,0.4,0.3
ME-DOL-ZO,0.012,20,3,1,2,0.15,0.05
ME-DOL-ZO,0.0115,20,0,0,0,0.0,0.0
ME-DOL-ZO,0.011,20,0,0,0,0.0,0.0
ME-DOL-ZO,0.01075,20,0,0,0,0.0,0.0
ME-DOL-ZO,0.0105,20,0,0,0,0.0,0.0
ME-DOL-ZO,0.01025,20,0,0,0,0.0,0.0
ME-DOL-ZO,0.01,20,0,0,0,0.0,0.0
ME-DOL-ZO,0.0095,20,0,0,0,0.0,0.0
ME-DOL-ZO,0.009,20,0,0,0,0.0,0.0
DGFM,0.035,20,20,20,0,1.0,1.0
DGFM,0.0325,20,20,20,0,1.0,1.0
DGFM,0.03,20,20,20,0,1.0,1.0
DGFM,0.0295,20,20,20,0,1.0,1.0
DGFM,0.029,20,20,20,0,1.0,1.0
DGFM,0.0285,20,20,20,0,1.0,1.0
DGFM,0.028,20,20,20,0,1.0,1.0
DGFM,0.0275,20,20,20,0,1.0,1.0
