method,formal_seed,epsilon,hit,first_hit_depth,first_hit_work,first_hit_stat_proxy,censor_depth,censor_work,capped_depth,capped_work
NOG-ZO,0,0.2,True,104.0,106496.0,0.1976595371961593,960.0,983040.0,104.0,106496.0
NOG-ZO,0,0.18,True,124.0,126976.0,0.1761541217565536,960.0,983040.0,124.0,126976.0
NOG-ZO,0,0.16,True,140.0,143360.0,0.1565416753292083,960.0,983040.0,140.0,143360.0
NOG-ZO,0,0.14,True,156.0,159744.0,0.1351304650306701,960.0,983040.0,156.0,159744.0
NOG-ZO,0,0.12,True,168.0,172032.0,0.1186547353863716,960.0,983040.0,168.0,172032.0
NOG-ZO,0,0.1,True,184.0,188416.0,0.0959046855568885,960.0,983040.0,184.0,188416.0
NOG-ZO,0,0.09,True,188.0,192512.0,0.0896796956658363,960.0,983040.0,188.0,192512.0
NOG-ZO,0,0.08,True,196.0,200704.0,0.0776182040572166,960.0,983040.0,196.0,200704.0
NOG-ZO,0,0.07,True,204.0,208896.0,0.0666445717215538,960.0,983040.0,204.0,208896.0
NOG-ZO,0,0.06,True,212.0,217088.0,0.0550966598093509,960.0,983040.0,212.0,217088.0
NOG-ZO,0,0.05,True,216.0,221184.0,0.0490647330880165,960.0,983040.0,216.0,221184.0
NOG-ZO,0,0.04,True,224.0,229376.0,0.0370558053255081,960.0,983040.0,224.0,229376.0
NOG-ZO,0,0.03,True,232.0,237568.0,0.0267838202416896,960.0,983040.0,232.0,237568.0
NOG-ZO,0,0.025,True,236.0,241664.0,0.0223220065236091,960.0,983040.0,236.0,241664.0
NOG-ZO,0,0.02,True,240.0,245760.0,0.0184948556125164,960.0,983040.0,240.0,245760.0
NOG-ZO,0,0.018,True,244.0,249856.0,0.0152969853952527,960.0,983040.0,244.0,249856.0
NOG-ZO,0,0.016,True,244.0,249856.0,0.0152969853952527,960.0,983040.0,244.0,249856.0
NOG-ZO,0,0.015,True,248.0,253952.0,0.0140111437067389,960.0,983040.0,248.0,253952.0
NOG-ZO,0,0.014,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,0,0.013,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,0,0.012,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,0,0.0115,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,0,0.011,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,0,0.01075,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,0,0.0105,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,0,0.01025,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,0,0.01,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,0,0.0095,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,0,0.009,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,0,0.008,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,0,0.007,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,0,0.006,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,0,0.005,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,0,0.004,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,0,0.003,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,0,0.002,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,1,0.2,True,104.0,106496.0,0.1978099048137664,960.0,983040.0,104.0,106496.0
NOG-ZO,1,0.18,True,124.0,126976.0,0.1754318326711654,960.0,983040.0,124.0,126976.0
NOG-ZO,1,0.16,True,140.0,143360.0,0.1560400128364563,960.0,983040.0,140.0,143360.0
NOG-ZO,1,0.14,True,152.0,155648.0,0.1395705640316009,960.0,983040.0,152.0,155648.0
NOG-ZO,1,0.12,True,168.0,172032.0,0.1168949902057647,960.0,983040.0,168.0,172032.0
NOG-ZO,1,0.1,True,180.0,184320.0,0.0997619032859802,960.0,983040.0,180.0,184320.0
NOG-ZO,1,0.09,True,188.0,192512.0,0.0869086682796478,960.0,983040.0,188.0,192512.0
NOG-ZO,1,0.08,True,196.0,200704.0,0.0752538070082664,960.0,983040.0,196.0,200704.0
NOG-ZO,1,0.07,True,200.0,204800.0,0.069046139717102,960.0,983040.0,200.0,204800.0
NOG-ZO,1,0.06,True,208.0,212992.0,0.0572963654994964,960.0,983040.0,208.0,212992.0
NOG-ZO,1,0.05,True,216.0,221184.0,0.0453683026134967,960.0,983040.0,216.0,221184.0
NOG-ZO,1,0.04,True,224.0,229376.0,0.0352687127888202,960.0,983040.0,224.0,229376.0
NOG-ZO,1,0.03,True,228.0,233472.0,0.0296236164867877,960.0,983040.0,228.0,233472.0
NOG-ZO,1,0.025,True,232.0,237568.0,0.0247694347053766,960.0,983040.0,232.0,237568.0
NOG-ZO,1,0.02,True,236.0,241664.0,0.0197732616215944,960.0,983040.0,236.0,241664.0
NOG-ZO,1,0.018,True,240.0,245760.0,0.0163775440305471,960.0,983040.0,240.0,245760.0
NOG-ZO,1,0.016,True,244.0,249856.0,0.0143285598605871,960.0,983040.0,244.0,249856.0
NOG-ZO,1,0.015,True,244.0,249856.0,0.0143285598605871,960.0,983040.0,244.0,249856.0
NOG-ZO,1,0.014,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,1,0.013,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,1,0.012,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,1,0.0115,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,1,0.011,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,1,0.01075,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,1,0.0105,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,1,0.01025,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,1,0.01,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,1,0.0095,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,1,0.009,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,1,0.008,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,1,0.007,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,1,0.006,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,1,0.005,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,1,0.004,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,1,0.003,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,1,0.002,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,2,0.2,True,104.0,106496.0,0.1978310197591781,960.0,983040.0,104.0,106496.0
