method,epsilon,seeds,hits,hit_rate,mean_first_hit_depth,sd_first_hit_depth,mean_first_hit_work,sd_first_hit_work,mean_capped_depth,sd_capped_depth,mean_capped_work,sd_capped_work
NOG-ZO,0.2,20,20,1.0,103.4,1.4653901941300929,105881.6,1500.559558789215,103.4,1.4653901941300929,105881.6,1500.559558789215
NOG-ZO,0.18,20,20,1.0,121.2,1.880649383926509,124108.8,1925.7849691407453,121.2,1.880649383926509,124108.8,1925.7849691407453
NOG-ZO,0.16,20,20,1.0,138.2,2.0416711421361615,141516.8,2090.6712495474294,138.2,2.0416711421361615,141516.8,2090.6712495474294
NOG-ZO,0.14,20,20,1.0,152.2,0.8944271909999159,155852.8,915.8934435839138,152.2,0.8944271909999159,155852.8,915.8934435839138
NOG-ZO,0.12,20,20,1.0,167.6,1.2311740225021848,171622.4,1260.7221990422372,167.6,1.2311740225021848,171622.4,1260.7221990422372
NOG-ZO,0.1,20,20,1.0,180.2,0.8944271909999159,184524.8,915.8934435839138,180.2,0.8944271909999159,184524.8,915.8934435839138
NOG-ZO,0.09,20,20,1.0,187.8,0.8944271909999159,192307.2,915.8934435839138,187.8,0.8944271909999159,192307.2,915.8934435839138
NOG-ZO,0.08,20,20,1.0,194.0,2.051956704170308,198656.0,2101.2036650703953,194.0,2.051956704170308,198656.0,2101.2036650703953
NOG-ZO,0.07,20,20,1.0,200.4,1.2311740225021848,205209.6,1260.7221990422372,200.4,1.2311740225021848,205209.6,1260.7221990422372
NOG-ZO,0.06,20,20,1.0,208.2,0.8944271909999159,213196.8,915.8934435839138,208.2,0.8944271909999159,213196.8,915.8934435839138
NOG-ZO,0.05,20,20,1.0,214.4,2.0104987598001385,219545.6,2058.750730035342,214.4,2.0104987598001385,219545.6,2058.750730035342
NOG-ZO,0.04,20,20,1.0,221.4,1.9574419397183718,226713.6,2004.4205462716127,221.4,1.9574419397183718,226713.6,2004.4205462716127
NOG-ZO,0.03,20,20,1.0,229.2,1.8806493839265088,234700.8,1925.784969140745,229.2,1.8806493839265088,234700.8,1925.784969140745
NOG-ZO,0.025,20,20,1.0,233.2,1.8806493839265088,238796.8,1925.784969140745,233.2,1.8806493839265088,238796.8,1925.784969140745
NOG-ZO,0.02,20,20,1.0,237.2,1.8806493839265088,242892.8,1925.784969140745,237.2,1.8806493839265088,242892.8,1925.784969140745
NOG-ZO,0.018,20,20,1.0,240.2,1.5761378513048243,245964.8,1613.96515973614,240.2,1.5761378513048243,245964.8,1613.96515973614
NOG-ZO,0.016,20,18,0.9,242.0,2.0579830217101063,247808.0,2107.374614231149,313.8,221.0043105080937,321331.2,226308.41396028796
NOG-ZO,0.015,20,11,0.55,244.0,1.7888543819998317,249856.0,1831.7868871678277,566.2,365.46143867430766,579788.8,374232.51320249104
NOG-ZO,0.014,20,1,0.05,244.0,0.0,249856.0,0.0,924.2,160.10246718898495,946380.8,163944.92640152058
NOG-ZO,0.013,20,0,0.0,,,,,960.0,0.0,983040.0,0.0
NOG-ZO,0.012,20,0,0.0,,,,,960.0,0.0,983040.0,0.0
NOG-ZO,0.0115,20,0,0.0,,,,,960.0,0.0,983040.0,0.0
