method,candidate_id,candidate_parameters,final_stat_proxy_mean,final_stat_proxy_std,min_stat_proxy_mean,lowest_confirmed_epsilon_mean,final_objective_mean,final_depth_mean,final_total_work_mean,candidate_rounds,seed_count
DGFM,DGFM__eta-0p05,"{""eta"": 0.05}",0.011787827871739865,0.00036736725237172395,0.01066688671708107,0.01095,-0.8331418514251709,7680.0,983040.0,3840,5
DGFM,DGFM__eta-0p1,"{""eta"": 0.1}",0.014679022878408398,0.0005869256037980112,0.01294584702700372,0.013600000000000001,-0.8297807931900024,7680.0,983040.0,3840,5
DGFM,DGFM__eta-0p15,"{""eta"": 0.15}",0.01698169782757759,0.000780391173230729,0.014576761424541474,0.0152,-0.8263325452804565,7680.0,983040.0,3840,5
DGFM,DGFM__eta-0p2,"{""eta"": 0.2}",0.018978435546159744,0.0009344528012738532,0.01587126087397337,0.016999999999999998,-0.8228002071380616,7680.0,983040.0,3840,5
DGFM+,DGFMplus__eta-0p05,"{""eta"": 0.05}",0.02805417999625202,0.001735893068921048,0.02563697658479208,0.028999999999999998,-0.797158932685852,7224.0,983040.0,3612,5
DGFM+,DGFMplus__eta-0p1,"{""eta"": 0.1}",0.038546263426542285,0.0023314115060583513,0.034552276879549024,0.04,-0.7501107931137085,7224.0,983040.0,3612,5
DGFM+,DGFMplus__eta-0p15,"{""eta"": 0.15}",0.0473474271595478,0.0020060757927589743,0.04299649968743324,0.05,-0.6876881122589111,7224.0,983040.0,3612,5
DGFM+,DGFMplus__eta-0p2,"{""eta"": 0.2}",0.05511496290564537,0.0020749458997390683,0.049366611242294314,0.054000000000000006,-0.5947871327400207,7224.0,983040.0,3612,5
ME-DOL-ZO,ME-DOL-ZO__epoch_length-12__theory_multiplier-60p0,"{""epoch_length"": 12, ""theory_multiplier"": 60.0}",0.014577111415564961,0.00022150744958948927,0.0133140224963426,0.013800000000000002,-0.8297092318534851,3840.0,983040.0,3840,5
ME-DOL-ZO,ME-DOL-ZO__epoch_length-4__theory_multiplier-60p0,"{""epoch_length"": 4, ""theory_multiplier"": 60.0}",0.016897786781191824,0.0006686810836109108,0.014954520761966706,0.0158,-0.8260239243507386,3840.0,983040.0,3840,5
ME-DOL-ZO,ME-DOL-ZO__epoch_length-6__theory_multiplier-60p0,"{""epoch_length"": 6, ""theory_multiplier"": 60.0}",0.016994919255375864,0.0010203816671957786,0.014764717593789101,0.015,-0.8262890219688416,3840.0,983040.0,3840,5
ME-DOL-ZO,ME-DOL-ZO__epoch_length-12__theory_multiplier-100p0,"{""epoch_length"": 12, ""theory_multiplier"": 100.0}",0.017271324619650842,0.0004123898497862021,0.015489660389721393,0.016,-0.8253358125686645,3840.0,983040.0,3840,5
