method,epsilon,hit_count,seed_count,hit_rate,depth_mean_conditional,work_mean_conditional
NOG-ZO,0.2,5,5,1.0,103.2,105676.8
NOG-ZO,0.18,5,5,1.0,121.6,124518.4
NOG-ZO,0.16,5,5,1.0,138.4,141721.6
NOG-ZO,0.14,5,5,1.0,152.0,155648.0
NOG-ZO,0.12,5,5,1.0,168.0,172032.0
NOG-ZO,0.1,5,5,1.0,180.0,184320.0
NOG-ZO,0.09,5,5,1.0,188.0,192512.0
NOG-ZO,0.08,5,5,1.0,194.4,199065.6
NOG-ZO,0.07,5,5,1.0,200.0,204800.0
NOG-ZO,0.06,5,5,1.0,208.0,212992.0
NOG-ZO,0.05,5,5,1.0,215.2,220364.8
NOG-ZO,0.04,5,5,1.0,220.8,226099.2
NOG-ZO,0.03,5,5,1.0,228.8,234291.2
NOG-ZO,0.025,5,5,1.0,232.0,237568.0
NOG-ZO,0.02,5,5,1.0,236.8,242483.2
NOG-ZO,0.018,5,5,1.0,239.2,244940.8
NOG-ZO,0.016,5,5,1.0,241.6,247398.4
NOG-ZO,0.015,4,5,0.8,243.0,248832.0
NOG-ZO,0.014,3,5,0.6,244.0,249856.0
NOG-ZO,0.013,0,5,0.0,,
NOG-ZO,0.012,0,5,0.0,,
NOG-ZO,0.0115,0,5,0.0,,
NOG-ZO,0.011,0,5,0.0,,
NOG-ZO,0.01075,0,5,0.0,,
NOG-ZO,0.0105,0,5,0.0,,
ME-DOL-ZO,0.2,5,5,1.0,168.0,43008.0
ME-DOL-ZO,0.18,5,5,1.0,199.2,50995.2
ME-DOL-ZO,0.16,5,5,1.0,230.4,58982.4
ME-DOL-ZO,0.14,5,5,1.0,256.8,65740.8
ME-DOL-ZO,0.12,5,5,1.0,295.2,75571.2
ME-DOL-ZO,0.1,5,5,1.0,331.2,84787.2
ME-DOL-ZO,0.09,5,5,1.0,352.8,90316.8
ME-DOL-ZO,0.08,5,5,1.0,381.6,97689.6
ME-DOL-ZO,0.07,5,5,1.0,420.0,107520.0
ME-DOL-ZO,0.06,5,5,1.0,451.2,115507.2
ME-DOL-ZO,0.05,5,5,1.0,492.0,125952.0
ME-DOL-ZO,0.04,5,5,1.0,544.8,139468.8
ME-DOL-ZO,0.03,5,5,1.0,609.6,156057.6
ME-DOL-ZO,0.025,5,5,1.0,674.4,172646.4
ME-DOL-ZO,0.02,5,5,1.0,780.0,199680.0
ME-DOL-ZO,0.018,5,5,1.0,868.8,222412.8
ME-DOL-ZO,0.016,5,5,1.0,1034.4,264806.4
ME-DOL-ZO,0.015,5,5,1.0,1140.0,291840.0
ME-DOL-ZO,0.014,5,5,1.0,2008.8,514252.8
ME-DOL-ZO,0.013,1,5,0.2,3672.0,940032.0
ME-DOL-ZO,0.012,0,5,0.0,,
ME-DOL-ZO,0.0115,0,5,0.0,,
ME-DOL-ZO,0.011,0,5,0.0,,
ME-DOL-ZO,0.01075,0,5,0.0,,
ME-DOL-ZO,0.0105,0,5,0.0,,
DGFM,0.2,5,5,1.0,361.6,46284.8
DGFM,0.18,5,5,1.0,454.4,58163.2
DGFM,0.16,5,5,1.0,540.8,69222.4
DGFM,0.14,5,5,1.0,638.4,81715.2
DGFM,0.12,5,5,1.0,739.2,94617.6
DGFM,0.1,5,5,1.0,856.0,109568.0
DGFM,0.09,5,5,1.0,926.4,118579.2
DGFM,0.08,5,5,1.0,1000.0,128000.0
DGFM,0.07,5,5,1.0,1084.8,138854.4
DGFM,0.06,5,5,1.0,1180.8,151142.4
DGFM,0.05,5,5,1.0,1300.8,166502.4
DGFM,0.04,5,5,1.0,1440.0,184320.0
DGFM,0.03,5,5,1.0,1632.0,208896.0
DGFM,0.025,5,5,1.0,1782.4,228147.2
DGFM,0.02,5,5,1.0,1963.2,251289.6
DGFM,0.018,5,5,1.0,2065.6,264396.8
DGFM,0.016,5,5,1.0,2284.8,292454.4
DGFM,0.015,5,5,1.0,2376.0,304128.0
DGFM,0.014,5,5,1.0,2576.0,329728.0
DGFM,0.013,5,5,1.0,2814.4,360243.2
DGFM,0.012,5,5,1.0,3230.4,413491.2
DGFM,0.0115,5,5,1.0,3472.0,444416.0
DGFM,0.011,3,5,0.6,4672.0,598016.0
DGFM,0.01075,2,5,0.4,5964.0,763392.0
DGFM,0.0105,2,5,0.4,5996.0,767488.0
DGFM+,0.2,5,5,1.0,339.2,46489.6
DGFM+,0.18,5,5,1.0,430.4,58777.6
DGFM+,0.16,5,5,1.0,531.2,72448.0
DGFM+,0.14,5,5,1.0,641.6,87654.4
DGFM+,0.12,5,5,1.0,756.8,103321.6
DGFM+,0.1,5,5,1.0,888.0,121190.4
DGFM+,0.09,5,5,1.0,948.8,129280.0
DGFM+,0.08,5,5,1.0,1028.8,140288.0
DGFM+,0.07,5,5,1.0,1116.8,152166.4
DGFM+,0.06,5,5,1.0,1220.8,166400.0
DGFM+,0.05,5,5,1.0,1332.8,181504.0
DGFM+,0.04,5,5,1.0,1515.2,206694.4
DGFM+,0.03,5,5,1.0,2164.8,294912.0
DGFM+,0.025,1,5,0.2,3304.0,449792.0
DGFM+,0.02,0,5,0.0,,
DGFM+,0.018,0,5,0.0,,
DGFM+,0.016,0,5,0.0,,
DGFM+,0.015,0,5,0.0,,
DGFM+,0.014,0,5,0.0,,
DGFM+,0.013,0,5,0.0,,
DGFM+,0.012,0,5,0.0,,
DGFM+,0.0115,0,5,0.0,,
DGFM+,0.011,0,5,0.0,,
DGFM+,0.01075,0,5,0.0,,
DGFM+,0.0105,0,5,0.0,,
