dataset,method,candidate_id,candidate_parameters,final_objective_mean,final_objective_std,final_stat_proxy_mean,final_stat_proxy_std,final_accuracy_mean,final_depth_mean,final_total_work_mean,candidate_rounds,seed_count
a9a,DGFM,DGFM__eta-0p5,"{""eta"": 0.5}",0.40022724866867065,0.0038077670340607816,0.02907429387172063,0.013595539368587008,0.8293357094128927,768.0,98304.0,384,3
a9a,DGFM,DGFM__eta-0p8,"{""eta"": 0.8}",0.40043507019678753,0.007979647080657633,0.03252810053527355,0.018592093105409678,0.8302980065345764,768.0,98304.0,384,3
a9a,DGFM,DGFM__eta-1p0,"{""eta"": 1.0}",0.4012235105037689,0.009080104362931777,0.028055944790442783,0.010292716015219746,0.8296223481496176,768.0,98304.0,384,3
a9a,DGFM+,DGFMplus__eta-0p2,"{""eta"": 0.2}",0.4498215715090434,0.006586257335679409,0.038199844459692635,0.007337314100957838,0.7955324848492941,678.0,98304.0,339,3
a9a,DGFM+,DGFMplus__eta-0p3,"{""eta"": 0.3}",0.47182563940684,0.036652912775117244,0.03706344651679198,0.012205148941878283,0.7968838016192118,678.0,98304.0,339,3
a9a,DGFM+,DGFMplus__eta-0p5,"{""eta"": 0.5}",0.4796894391377767,0.02744222593847959,0.03591769064466158,0.017906628502846498,0.7980098923047384,678.0,98304.0,339,3
a9a,ME-DOL-ZO,ME-DOL-ZO__epoch_length-6__theory_multiplier-30000p0,"{""epoch_length"": 6, ""theory_multiplier"": 30000.0}",0.40521563092867535,0.014665095924059882,0.026892976214488346,0.010164220005729585,0.8280151089032491,384.0,98304.0,384,3
a9a,ME-DOL-ZO,ME-DOL-ZO__epoch_length-3__theory_multiplier-30000p0,"{""epoch_length"": 3, ""theory_multiplier"": 30000.0}",0.4115983843803406,0.00567441073100312,0.03990890954931577,0.005551031975825597,0.8251998821894327,384.0,98304.0,384,3
a9a,ME-DOL-ZO,ME-DOL-ZO__epoch_length-6__theory_multiplier-10000p0,"{""epoch_length"": 6, ""theory_multiplier"": 10000.0}",0.4223123590151469,0.015960541571279706,0.0300438745568196,0.008587774019294609,0.8100181221961975,384.0,98304.0,384,3
a9a,NOG-ZO,NOG-ZO__M-1__eta-3em05__smooth_B-1,"{""M"": 1, ""eta"": 3e-05, ""smooth_B"": 1}",0.7491312424341837,0.0008959013580553475,0.35848792394002277,0.004595194670452433,0.7591904401779175,768.0,98304.0,766,3
a9a,NOG-ZO,NOG-ZO__M-1__eta-0p0001__smooth_B-1,"{""M"": 1, ""eta"": 0.0001, ""smooth_B"": 1}",0.7659714818000793,0.0009510140624182356,0.35848792394002277,0.004595194670452426,0.7591904401779175,768.0,98304.0,766,3
a9a,NOG-ZO,NOG-ZO__M-1__eta-0p0003__smooth_B-1,"{""M"": 1, ""eta"": 0.0003, ""smooth_B"": 1}",0.8447548349698385,0.0019057802305902523,0.35848792394002277,0.004595194670452433,0.7591904401779175,768.0,98304.0,766,3
ijcnn1,DGFM,DGFM__eta-2p0,"{""eta"": 2.0}",0.19501962761084238,0.006264991564020495,0.018078496990104515,0.002984987384316112,0.9092218478520712,768.0,98304.0,384,3
ijcnn1,DGFM,DGFM__eta-1p0,"{""eta"": 1.0}",0.19667594134807587,0.0024148544862585605,0.016716123869021732,0.003914691132015929,0.9037474195162455,768.0,98304.0,384,3
ijcnn1,DGFM,DGFM__eta-0p8,"{""eta"": 0.8}",0.19684346516927084,0.0013350413776987973,0.016505905737479527,0.001241754910689562,0.903093953927358,768.0,98304.0,384,3
ijcnn1,DGFM+,DGFMplus__eta-0p1,"{""eta"": 0.1}",0.2205396592617035,0.0015761264436190213,0.043659841641783714,0.01996748434162391,0.9029206037521362,678.0,98304.0,339,3
ijcnn1,DGFM+,DGFMplus__eta-0p2,"{""eta"": 0.2}",0.23101364572842917,0.004051003751483451,0.04599634247521559,0.013939766189444043,0.9029072523117065,678.0,98304.0,339,3
ijcnn1,DGFM+,DGFMplus__eta-0p3,"{""eta"": 0.3}",0.2334225575129191,0.003521110048416593,0.050289721538623176,0.01806199811165939,0.9030672907829285,678.0,98304.0,339,3
ijcnn1,ME-DOL-ZO,ME-DOL-ZO__epoch_length-6__theory_multiplier-30000p0,"{""epoch_length"": 6, ""theory_multiplier"": 30000.0}",0.20177475114663443,0.006243297799050059,0.02085716774066289,0.004212950800767212,0.9038540919621786,384.0,98304.0,384,3
ijcnn1,ME-DOL-ZO,ME-DOL-ZO__epoch_length-6__theory_multiplier-10000p0,"{""epoch_length"": 6, ""theory_multiplier"": 10000.0}",0.2038743495941162,0.0024762269299409456,0.022679530705014866,0.0007358828891419592,0.9029206037521362,384.0,98304.0,384,3
ijcnn1,ME-DOL-ZO,ME-DOL-ZO__epoch_length-6__theory_multiplier-100000p0,"{""epoch_length"": 6, ""theory_multiplier"": 100000.0}",0.21910429000854492,0.01939414094346009,0.02143721841275692,0.006958312887369931,0.9127092162768046,384.0,98304.0,384,3
ijcnn1,NOG-ZO,NOG-ZO__M-1__eta-0p0001__smooth_B-1,"{""M"": 1, ""eta"": 0.0001, ""smooth_B"": 1}",0.7790220379829407,5.4848678626524124e-05,0.30697135130564374,0.006400081691219463,0.9029206037521362,768.0,98304.0,766,3
ijcnn1,NOG-ZO,NOG-ZO__M-1__eta-3em05__smooth_B-1,"{""M"": 1, ""eta"": 3e-05, ""smooth_B"": 1}",0.7858462731043497,0.0006579941809661168,0.30697135130564374,0.006400081691219463,0.9029206037521362,768.0,98304.0,766,3
ijcnn1,NOG-ZO,NOG-ZO__M-1__eta-0p0003__smooth_B-1,"{""M"": 1, ""eta"": 0.0003, ""smooth_B"": 1}",0.7925059199333191,0.00033040985264620813,0.30697135130564374,0.006400081691219476,0.9029206037521362,768.0,98304.0,766,3
