method,base_method,iteration,round,worker_count,eval_point,time_sec,formal_seed,problem_seed,partition_seed,method_seed,oracle_type,work,total_work,per_worker_work_max,per_worker_work,eval_work,communication_round,depth,objective,stat_proxy,evaluation_delta,train_accuracy,delta,target_delta,smoothing_delta,lr_or_eta,batch_size,candidate_id,candidate_parameters,candidate_rounds,target_total_work,dataset,seed_role,small_batch,large_batch,restart_period,restart_mixing_rounds,epoch_length,domain_radius,theory_multiplier,smooth_B,data_B_per_worker,block_id,M,block_oracle_norm
DGFM+,DGFM+,3411,3411,8,x_bar,12.156443357467651,12,100012,200012,1417004970,szo,983040,983040,122880,"[122880, 122880, 122880, 122880, 122880, 122880, 122880, 122880]",81920,6822,6822,0.3974952101707458,0.014071219600737,0.002,0.8324682712554932,0.002,0.002,0.001,0.2,,DGFMplus__eta-0p2,"{""eta"": 0.2}",3411,983040,a9a,real_data_formal,8.0,64.0,24.0,1.0,,,,,,,,
DGFM+,DGFM+,3411,3411,8,x_bar,11.312656879425049,3,100003,200003,410831931,szo,983040,983040,122880,"[122880, 122880, 122880, 122880, 122880, 122880, 122880, 122880]",81920,6822,6822,0.1928803473711013,0.0162737257778644,0.002,0.9043608903884888,0.002,0.002,0.001,0.1,,DGFMplus__eta-0p1,"{""eta"": 0.1}",3411,983040,ijcnn1,real_data_formal,8.0,64.0,24.0,1.0,,,,,,,,
DGFM+,DGFM+,3411,3411,8,x_bar,11.277324676513672,0,100000,200000,310546480,szo,983040,983040,122880,"[122880, 122880, 122880, 122880, 122880, 122880, 122880, 122880]",81920,6822,6822,0.1960460096597671,0.0181847419589757,0.002,0.9030806422233582,0.002,0.002,0.001,0.1,,DGFMplus__eta-0p1,"{""eta"": 0.1}",3411,983040,ijcnn1,real_data_formal,8.0,64.0,24.0,1.0,,,,,,,,
DGFM+,DGFM+,3411,3411,8,x_bar,28.979084014892575,0,100000,200000,310546480,szo,983040,983040,122880,"[122880, 122880, 122880, 122880, 122880, 122880, 122880, 122880]",81920,6822,6822,0.402461439371109,0.0224503297358751,0.002,0.8301956057548523,0.002,0.002,0.001,0.2,,DGFMplus__eta-0p2,"{""eta"": 0.2}",3411,983040,a9a,real_data_formal,8.0,64.0,24.0,1.0,,,,,,,,
DGFM+,DGFM+,3411,3411,8,x_bar,12.090182542800903,16,100016,200016,237148831,szo,983040,983040,122880,"[122880, 122880, 122880, 122880, 122880, 122880, 122880, 122880]",81920,6822,6822,0.4009637832641601,0.0164034459739923,0.002,0.8333281874656677,0.002,0.002,0.001,0.2,,DGFMplus__eta-0p2,"{""eta"": 0.2}",3411,983040,a9a,real_data_formal,8.0,64.0,24.0,1.0,,,,,,,,
DGFM+,DGFM+,3411,3411,8,x_bar,12.24086594581604,13,100013,200013,1123099409,szo,983040,983040,122880,"[122880, 122880, 122880, 122880, 122880, 122880, 122880, 122880]",81920,6822,6822,0.4108215868473053,0.0250218138098716,0.002,0.8291207551956177,0.002,0.002,0.001,0.2,,DGFMplus__eta-0p2,"{""eta"": 0.2}",3411,983040,a9a,real_data_formal,8.0,64.0,24.0,1.0,,,,,,,,
DGFM+,DGFM+,3411,3411,8,x_bar,12.214054107666016,14,100014,200014,1837613637,szo,983040,983040,122880,"[122880, 122880, 122880, 122880, 122880, 122880, 122880, 122880]",81920,6822,6822,0.425746887922287,0.0461865589022636,0.002,0.8194465637207031,0.002,0.002,0.001,0.2,,DGFMplus__eta-0p2,"{""eta"": 0.2}",3411,983040,a9a,real_data_formal,8.0,64.0,24.0,1.0,,,,,,,,
DGFM+,DGFM+,3411,3411,8,x_bar,12.090856552124023,19,100019,200019,502763344,szo,983040,983040,122880,"[122880, 122880, 122880, 122880, 122880, 122880, 122880, 122880]",81920,6822,6822,0.402332067489624,0.0181243736296892,0.002,0.8296428322792053,0.002,0.002,0.001,0.2,,DGFMplus__eta-0p2,"{""eta"": 0.2}",3411,983040,a9a,real_data_formal,8.0,64.0,24.0,1.0,,,,,,,,
DGFM+,DGFM+,3411,3411,8,x_bar,11.234506130218506,19,100019,200019,502763344,szo,983040,983040,122880,"[122880, 122880, 122880, 122880, 122880, 122880, 122880, 122880]",81920,6822,6822,0.200883612036705,0.0246987026184797,0.002,0.902980625629425,0.002,0.002,0.001,0.1,,DGFMplus__eta-0p1,"{""eta"": 0.1}",3411,983040,ijcnn1,real_data_formal,8.0,64.0,24.0,1.0,,,,,,,,
DGFM+,DGFM+,3411,3411,8,x_bar,12.298097848892212,15,100015,200015,1488682559,szo,983040,983040,122880,"[122880, 122880, 122880, 122880, 122880, 122880, 122880, 122880]",81920,6822,6822,0.3879127502441406,0.0137019678950309,0.002,0.8359079957008362,0.002,0.002,0.001,0.2,,DGFMplus__eta-0p2,"{""eta"": 0.2}",3411,983040,a9a,real_data_formal,8.0,64.0,24.0,1.0,,,,,,,,
