method,base_method,iteration,round,worker_count,eval_point,time_sec,formal_seed,problem_seed,partition_seed,method_seed,oracle_type,work,total_work,per_worker_work_max,per_worker_work,eval_work,communication_round,depth,objective,stat_proxy,evaluation_delta,train_accuracy,delta,target_delta,smoothing_delta,lr_or_eta,batch_size,candidate_id,candidate_parameters,candidate_rounds,target_total_work,dataset,seed_role,small_batch,large_batch,restart_period,restart_mixing_rounds,epoch_length,domain_radius,theory_multiplier,smooth_B,data_B_per_worker,block_id,M,block_oracle_norm
DGFM,DGFM,1,1,8,x_bar,0.0392076969146728,0,100000,200000,2024481442,szo,256,256,32,"[32, 32, 32, 32, 32, 32, 32, 32]",8192,2,2,0.9491131901741028,0.367281436920166,0.002,0.7647799253463745,0.002,0.002,0.001,0.5,16.0,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,real_data_formal,,,,,,,,,,,,
DGFM,DGFM,384,384,8,x_bar,2.1820297241210938,0,100000,200000,2024481442,szo,98304,98304,12288,"[12288, 12288, 12288, 12288, 12288, 12288, 12288, 12288]",16384,768,768,0.3983236253261566,0.0213955882936716,0.002,0.8275237083435059,0.002,0.002,0.001,0.5,16.0,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,real_data_formal,,,,,,,,,,,,
DGFM,DGFM,768,768,8,x_bar,4.3644068241119385,0,100000,200000,2024481442,szo,196608,196608,24576,"[24576, 24576, 24576, 24576, 24576, 24576, 24576, 24576]",24576,1536,1536,0.3803900182247162,0.0206088032573461,0.002,0.8360922336578369,0.002,0.002,0.001,0.5,16.0,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,real_data_formal,,,,,,,,,,,,
DGFM,DGFM,1152,1152,8,x_bar,6.367698907852173,0,100000,200000,2024481442,szo,294912,294912,36864,"[36864, 36864, 36864, 36864, 36864, 36864, 36864, 36864]",32768,2304,2304,0.3840347528457641,0.0178558565676212,0.002,0.8347716331481934,0.002,0.002,0.001,0.5,16.0,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,real_data_formal,,,,,,,,,,,,
DGFM,DGFM,1536,1536,8,x_bar,8.386855363845825,0,100000,200000,2024481442,szo,393216,393216,49152,"[49152, 49152, 49152, 49152, 49152, 49152, 49152, 49152]",40960,3072,3072,0.3819805979728699,0.0166981350630521,0.002,0.8357544541358948,0.002,0.002,0.001,0.5,16.0,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,real_data_formal,,,,,,,,,,,,
DGFM,DGFM,1920,1920,8,x_bar,10.468159198760986,0,100000,200000,2024481442,szo,491520,491520,61440,"[61440, 61440, 61440, 61440, 61440, 61440, 61440, 61440]",49152,3840,3840,0.3827707767486572,0.0132238883525133,0.002,0.8358772993087769,0.002,0.002,0.001,0.5,16.0,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,real_data_formal,,,,,,,,,,,,
DGFM,DGFM,2304,2304,8,x_bar,12.483100414276125,0,100000,200000,2024481442,szo,589824,589824,73728,"[73728, 73728, 73728, 73728, 73728, 73728, 73728, 73728]",57344,4608,4608,0.3790418207645416,0.0112672001123428,0.002,0.8370750546455383,0.002,0.002,0.001,0.5,16.0,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,real_data_formal,,,,,,,,,,,,
DGFM,DGFM,2688,2688,8,x_bar,14.543025255203249,0,100000,200000,2024481442,szo,688128,688128,86016,"[86016, 86016, 86016, 86016, 86016, 86016, 86016, 86016]",65536,5376,5376,0.371715784072876,0.0120809813961386,0.002,0.8412210941314697,0.002,0.002,0.001,0.5,16.0,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,real_data_formal,,,,,,,,,,,,
DGFM,DGFM,3072,3072,8,x_bar,16.59105682373047,0,100000,200000,2024481442,szo,786432,786432,98304,"[98304, 98304, 98304, 98304, 98304, 98304, 98304, 98304]",73728,6144,6144,0.3699615597724914,0.0118672531098127,0.002,0.8408832550048828,0.002,0.002,0.001,0.5,16.0,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,real_data_formal,,,,,,,,,,,,
DGFM,DGFM,3456,3456,8,x_bar,18.68013858795166,0,100000,200000,2024481442,szo,884736,884736,110592,"[110592, 110592, 110592, 110592, 110592, 110592, 110592, 110592]",81920,6912,6912,0.370338886976242,0.0092092733830213,0.002,0.8416510820388794,0.002,0.002,0.001,0.5,16.0,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,real_data_formal,,,,,,,,,,,,
DGFM,DGFM,3840,3840,8,x_bar,20.76866888999939,0,100000,200000,2024481442,szo,983040,983040,122880,"[122880, 122880, 122880, 122880, 122880, 122880, 122880, 122880]",90112,7680,7680,0.3745090365409851,0.0218424554914236,0.002,0.8407911062240601,0.002,0.002,0.001,0.5,16.0,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,real_data_formal,,,,,,,,,,,,
DGFM,DGFM,1,1,8,x_bar,0.0549376010894775,1,100001,200001,1527951910,szo,256,256,32,"[32, 32, 32, 32, 32, 32, 32, 32]",8192,2,2,0.9161143898963928,0.3588612377643585,0.002,0.7592211365699768,0.002,0.002,0.001,0.5,16.0,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,real_data_formal,,,,,,,,,,,,
DGFM,DGFM,384,384,8,x_bar,1.9646093845367432,1,100001,200001,1527951910,szo,98304,98304,12288,"[12288, 12288, 12288, 12288, 12288, 12288, 12288, 12288]",16384,768,768,0.3896433711051941,0.0203465912491083,0.002,0.8325604200363159,0.002,0.002,0.001,0.5,16.0,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,real_data_formal,,,,,,,,,,,,
DGFM,DGFM,768,768,8,x_bar,4.049824953079224,1,100001,200001,1527951910,szo,196608,196608,24576,"[24576, 24576, 24576, 24576, 24576, 24576, 24576, 24576]",24576,1536,1536,0.378307968378067,0.014915682375431,0.002,0.837136447429657,0.002,0.002,0.001,0.5,16.0,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,real_data_formal,,,,,,,,,,,,
DGFM,DGFM,1152,1152,8,x_bar,6.04346227645874,1,100001,200001,1527951910,szo,294912,294912,36864,"[36864, 36864, 36864, 36864, 36864, 36864, 36864, 36864]",32768,2304,2304,0.3821706473827362,0.0242081377655267,0.002,0.8354473114013672,0.002,0.002,0.001,0.5,16.0,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,real_data_formal,,,,,,,,,,,,
