worker_count,method,formal_seed,epsilon,scope,hit,first_hit_depth,first_hit_work,first_hit_per_worker_work,first_hit_stat_proxy,censor_depth,censor_work,censor_per_worker_work,capped_depth,capped_work,capped_per_worker_work
1,NOG-ZO,0,0.05,primary,True,216.0,221184.0,221184.0,0.0452756769955158,960.0,983040.0,983040.0,216.0,221184.0,221184.0
1,NOG-ZO,0,0.03,descriptive,True,228.0,233472.0,233472.0,0.0295911282300949,960.0,983040.0,983040.0,228.0,233472.0,233472.0
1,NOG-ZO,0,0.02,descriptive,True,240.0,245760.0,245760.0,0.0166560225188732,960.0,983040.0,983040.0,240.0,245760.0,245760.0
1,NOG-ZO,0,0.018,descriptive,True,240.0,245760.0,245760.0,0.0166560225188732,960.0,983040.0,983040.0,240.0,245760.0,245760.0
1,NOG-ZO,0,0.016,descriptive,True,244.0,249856.0,249856.0,0.0144273368641734,960.0,983040.0,983040.0,244.0,249856.0,249856.0
1,NOG-ZO,0,0.015,descriptive,True,244.0,249856.0,249856.0,0.0144273368641734,960.0,983040.0,983040.0,244.0,249856.0,249856.0
1,NOG-ZO,0,0.01,descriptive,False,,,,,960.0,983040.0,983040.0,960.0,983040.0,983040.0
1,NOG-ZO,1,0.05,primary,True,212.0,217088.0,217088.0,0.0483723282814025,960.0,983040.0,983040.0,212.0,217088.0,217088.0
1,NOG-ZO,1,0.03,descriptive,True,228.0,233472.0,233472.0,0.0262759532779455,960.0,983040.0,983040.0,228.0,233472.0,233472.0
1,NOG-ZO,1,0.02,descriptive,True,236.0,241664.0,241664.0,0.0172544177621603,960.0,983040.0,983040.0,236.0,241664.0,241664.0
1,NOG-ZO,1,0.018,descriptive,True,236.0,241664.0,241664.0,0.0172544177621603,960.0,983040.0,983040.0,236.0,241664.0,241664.0
1,NOG-ZO,1,0.016,descriptive,True,240.0,245760.0,245760.0,0.0141053358092904,960.0,983040.0,983040.0,240.0,245760.0,245760.0
1,NOG-ZO,1,0.015,descriptive,True,240.0,245760.0,245760.0,0.0141053358092904,960.0,983040.0,983040.0,240.0,245760.0,245760.0
1,NOG-ZO,1,0.01,descriptive,False,,,,,960.0,983040.0,983040.0,960.0,983040.0,983040.0
1,NOG-ZO,2,0.05,primary,True,212.0,217088.0,217088.0,0.0482568107545375,960.0,983040.0,983040.0,212.0,217088.0,217088.0
1,NOG-ZO,2,0.03,descriptive,True,228.0,233472.0,233472.0,0.0258786659687757,960.0,983040.0,983040.0,228.0,233472.0,233472.0
1,NOG-ZO,2,0.02,descriptive,True,236.0,241664.0,241664.0,0.0172314811497926,960.0,983040.0,983040.0,236.0,241664.0,241664.0
