method,epsilon,worker_count,ratio_direction,paired_hits,total_seeds,complete_pairing,paired_seeds,mean_depth_ratio,sd_depth_ratio,depth_ratio_ci_low,depth_ratio_ci_high,mean_work_ratio,sd_work_ratio,work_ratio_ci_low,work_ratio_ci_high,mean_per_worker_work_ratio,sd_per_worker_work_ratio,per_worker_work_ratio_ci_low,per_worker_work_ratio_ci_high
NOG-ZO,0.05,1,m/current divided by m=1 within method,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
NOG-ZO,0.05,2,m/current divided by m=1 within method,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",1.0000349406009783,0.01047230645580677,0.9953878406708595,1.003808525506639,1.0000349406009783,0.01047230645580677,0.9953878406708595,1.0047169811320753,0.5000174703004892,0.005236153227903385,0.4981481481481481,0.5023497554157932
NOG-ZO,0.05,4,m/current divided by m=1 within method,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",0.9990915443745632,0.0073461905623160495,0.9962962962962962,1.0019042627533195,0.9990915443745632,0.0073461905623160495,0.9962962962962962,1.0019042627533192,0.2497728860936408,0.0018365476405790124,0.24907407407407406,0.25047606568832986
NOG-ZO,0.05,8,m/current divided by m=1 within method,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",1.000960866526904,0.007385859143559766,0.9981481481481481,1.0047169811320753,1.000960866526904,0.007385859143559766,0.9981481481481481,1.0037910552061495,0.125120108315863,0.0009232323929449708,0.12476851851851851,0.12547388190076872
NOG-ZO,0.03,1,m/current divided by m=1 within method,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
NOG-ZO,0.03,2,m/current divided by m=1 within method,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",1.0017700501253133,0.00787927673765455,0.9982612781954886,1.0052944862155389,1.0017700501253133,0.00787927673765455,0.9982456140350877,1.0052944862155389,0.5008850250626566,0.003939638368827275,0.49912280701754386,0.5026472431077694
NOG-ZO,0.03,4,m/current divided by m=1 within method,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",1.0017700501253133,0.005448336363592757,1.0,1.0044329573934836,1.0017700501253133,0.005448336363592757,1.0,1.0044172932330828,0.2504425125313283,0.0013620840908981893,0.25,0.2511082393483709
NOG-ZO,0.03,8,m/current divided by m=1 within method,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",1.0044016290726818,0.007822164280876402,1.001732847744361,1.0079260651629074,1.0044016290726818,0.007822164280876402,1.0017543859649123,1.0079417293233084,0.12555020363408523,0.0009777705351095502,0.12521929824561404,0.12599075814536342
NOG-ZO,0.02,1,m/current divided by m=1 within method,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
NOG-ZO,0.02,2,m/current divided by m=1 within method,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",1.0008615819209041,0.008562569735448678,0.9975000000000002,1.004237288135593,1.0008615819209041,0.008562569735448678,0.9966949152542373,1.0050286016949155,0.5004307909604521,0.004281284867724339,0.49874999999999997,0.5021257062146892
NOG-ZO,0.02,4,m/current divided by m=1 within method,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",1.0008757062146894,0.008590201406193853,0.9975141242937854,1.0042514124293787,1.0008757062146894,0.008590201406193853,0.9975000000000002,1.0042514124293787,0.25021892655367234,0.0021475503515484633,0.24937499999999999,0.25106294138418084
NOG-ZO,0.02,8,m/current divided by m=1 within method,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",1.0000282485875707,0.007712215668087566,0.9966666666666667,1.0034039548022597,1.0000282485875707,0.007712215668087566,0.996680790960452,1.0034039548022597,0.12500353107344633,0.0009640269585109457,0.12458333333333335,0.12542372881355934
NOG-ZO,0.018,1,m/current divided by m=1 within method,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
NOG-ZO,0.018,2,m/current divided by m=1 within method,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",1.0017090395480226,0.010741689274843957,0.9966949152542373,1.0066952683615817,1.0017090395480226,0.010741689274843957,0.9975141242937854,1.0067090395480225,0.5008545197740113,0.0053708446374219785,0.49834728107344634,0.5029661016949153
NOG-ZO,0.018,4,m/current divided by m=1 within method,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",1.0025564971751413,0.008259474015578052,0.9991807909604521,1.0059463276836158,1.0025564971751413,0.008259474015578052,0.9991807909604521,1.0059463276836158,0.2506391242937853,0.002064868503894513,0.24979519774011302,0.25148305084745765
NOG-ZO,0.018,8,m/current divided by m=1 within method,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",1.0059180790960454,0.008274714831990724,1.0025423728813558,1.0093079096045199,1.0059180790960454,0.008274714831990724,1.0025282485875706,1.0093079096045199,0.12573975988700567,0.0010343393539988404,0.12531603107344633,0.12616525423728814
NOG-ZO,0.016,1,m/current divided by m=1 within method,19,20,False,"0,1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17,18,19",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
NOG-ZO,0.016,2,m/current divided by m=1 within method,17,20,False,"0,1,3,4,5,6,7,8,9,10,12,13,14,15,16,17,18",1.0058823529411764,0.01160121549848586,1.0000642880102861,1.0107682417229187,1.0058823529411764,0.01160121549848586,1.0000642880102861,1.0107847155255545,0.5029411764705882,0.00580060774924293,0.5000321440051431,0.505392156862745
NOG-ZO,0.016,4,m/current divided by m=1 within method,19,20,False,"0,1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17,18,19",1.0026459591601955,0.008322777229026551,0.9991655881507046,1.00615473109002,1.0026459591601955,0.008322777229026551,0.9991515674431983,1.00615473109002,0.2506614897900489,0.002080694307256638,0.24978789186079953,0.2515350877192983
NOG-ZO,0.016,8,m/current divided by m=1 within method,17,20,False,"0,1,2,3,4,5,6,7,8,9,10,12,13,15,16,17,19",1.0010286081645772,0.010895410167104342,0.9961587913854067,1.0059144969463194,1.0010286081645772,0.010895410167104342,0.995226213436194,1.0059144969463194,0.12512857602057215,0.0013619262708880427,0.12451984892317584,0.1257373031179685
NOG-ZO,0.015,1,m/current divided by m=1 within method,16,20,False,"0,1,2,3,4,5,7,8,9,10,12,13,15,17,18,19",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
NOG-ZO,0.015,2,m/current divided by m=1 within method,9,20,False,"0,3,4,8,9,10,13,17,18",1.0,0.008196721311475419,0.9945355191256832,1.005464480874317,1.0,0.008196721311475419,0.9945355191256832,1.005464480874317,0.5,0.0040983606557377095,0.4972677595628416,0.5027322404371585
NOG-ZO,0.015,4,m/current divided by m=1 within method,14,20,False,"0,1,2,4,5,7,8,10,12,13,15,17,18,19",1.0035714285714286,0.00957662148080443,0.9988480679156908,1.0082943013270882,1.0035714285714286,0.00957662148080443,0.998848555815769,1.0083138173302104,0.25089285714285714,0.0023941553702011074,0.24971213895394223,0.2520784543325526
NOG-ZO,0.015,8,m/current divided by m=1 within method,9,20,False,"0,1,3,5,9,10,12,15,19",1.0036733454766242,0.007289388999549623,1.0,1.0074074074074073,1.0036733454766242,0.007289388999549623,1.0,1.0091378263509412,0.12545916818457803,0.0009111736249437028,0.125,0.12614602307225256
NOG-ZO,0.01,1,m/current divided by m=1 within method,0,20,False,,,,,,,,,,,,,
NOG-ZO,0.01,2,m/current divided by m=1 within method,0,20,False,,,,,,,,,,,,,
NOG-ZO,0.01,4,m/current divided by m=1 within method,0,20,False,,,,,,,,,,,,,
NOG-ZO,0.01,8,m/current divided by m=1 within method,0,20,False,,,,,,,,,,,,,
ME-DOL-ZO,0.05,1,m/current divided by m=1 within method,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
ME-DOL-ZO,0.05,2,m/current divided by m=1 within method,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",0.9551515151515151,0.15224449657769354,0.8887272727272727,1.0193939393939393,1.9103030303030302,0.3044889931553871,1.7773575757575757,2.0426787878787875,0.9551515151515151,0.15224449657769354,0.8906666666666666,1.0215757575757576
ME-DOL-ZO,0.05,4,m/current divided by m=1 within method,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",1.1096969696969696,0.18768689073210398,1.0276333333333334,1.190909090909091,4.4387878787878785,0.7507475629284159,4.125951515151516,4.771490909090909,1.1096969696969696,0.18768689073210398,1.0305454545454547,1.1878999999999997
ME-DOL-ZO,0.05,8,m/current divided by m=1 within method,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",1.4537575757575756,0.21263561232680991,1.3667151515151517,1.5393393939393938,11.630060606060605,1.7010848986144793,10.873163636363637,12.337575757575756,1.4537575757575756,0.21263561232680991,1.3616848484848487,1.5461030303030303
ME-DOL-ZO,0.03,1,m/current divided by m=1 within method,0,20,False,,,,,,,,,,,,,
ME-DOL-ZO,0.03,2,m/current divided by m=1 within method,0,20,False,,,,,,,,,,,,,
ME-DOL-ZO,0.03,4,m/current divided by m=1 within method,0,20,False,,,,,,,,,,,,,
ME-DOL-ZO,0.03,8,m/current divided by m=1 within method,0,20,False,,,,,,,,,,,,,
ME-DOL-ZO,0.02,1,m/current divided by m=1 within method,0,20,False,,,,,,,,,,,,,
ME-DOL-ZO,0.02,2,m/current divided by m=1 within method,0,20,False,,,,,,,,,,,,,
ME-DOL-ZO,0.02,4,m/current divided by m=1 within method,0,20,False,,,,,,,,,,,,,
ME-DOL-ZO,0.02,8,m/current divided by m=1 within method,0,20,False,,,,,,,,,,,,,
ME-DOL-ZO,0.018,1,m/current divided by m=1 within method,0,20,False,,,,,,,,,,,,,
ME-DOL-ZO,0.018,2,m/current divided by m=1 within method,0,20,False,,,,,,,,,,,,,
ME-DOL-ZO,0.018,4,m/current divided by m=1 within method,0,20,False,,,,,,,,,,,,,
ME-DOL-ZO,0.018,8,m/current divided by m=1 within method,0,20,False,,,,,,,,,,,,,
ME-DOL-ZO,0.016,1,m/current divided by m=1 within method,0,20,False,,,,,,,,,,,,,
ME-DOL-ZO,0.016,2,m/current divided by m=1 within method,0,20,False,,,,,,,,,,,,,
ME-DOL-ZO,0.016,4,m/current divided by m=1 within method,0,20,False,,,,,,,,,,,,,
ME-DOL-ZO,0.016,8,m/current divided by m=1 within method,0,20,False,,,,,,,,,,,,,
ME-DOL-ZO,0.015,1,m/current divided by m=1 within method,0,20,False,,,,,,,,,,,,,
ME-DOL-ZO,0.015,2,m/current divided by m=1 within method,0,20,False,,,,,,,,,,,,,
ME-DOL-ZO,0.015,4,m/current divided by m=1 within method,0,20,False,,,,,,,,,,,,,
ME-DOL-ZO,0.015,8,m/current divided by m=1 within method,0,20,False,,,,,,,,,,,,,
ME-DOL-ZO,0.01,1,m/current divided by m=1 within method,0,20,False,,,,,,,,,,,,,
ME-DOL-ZO,0.01,2,m/current divided by m=1 within method,0,20,False,,,,,,,,,,,,,
ME-DOL-ZO,0.01,4,m/current divided by m=1 within method,0,20,False,,,,,,,,,,,,,
ME-DOL-ZO,0.01,8,m/current divided by m=1 within method,0,20,False,,,,,,,,,,,,,
DGFM,0.05,1,m/current divided by m=1 within method,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
DGFM,0.05,2,m/current divided by m=1 within method,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",0.9846189824033074,0.09764584073762234,0.9446129377400186,1.0282827679169926,1.9692379648066147,0.19529168147524467,1.8906166512501608,2.0585758025663634,0.9846189824033074,0.09764584073762234,0.9431089598791113,1.0276542052285687
DGFM,0.05,4,m/current divided by m=1 within method,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",0.9471578505717522,0.08718295143062765,0.909421104355297,0.9835577101257343,3.7886314022870087,0.3487318057225106,3.642472102625635,3.93715623080676,0.9471578505717522,0.08718295143062765,0.9106687355895915,0.9831764358452537
DGFM,0.05,8,m/current divided by m=1 within method,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",0.9415717154381342,0.08517967196278241,0.9054878756999343,0.9776903265631759,7.532573723505074,0.6814373757022593,7.261233172419686,7.834176874684242,0.9415717154381342,0.08517967196278241,0.9074415559417938,0.9796008723353384
DGFM,0.03,1,m/current divided by m=1 within method,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
DGFM,0.03,2,m/current divided by m=1 within method,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",0.9253823415188192,0.11564519877104171,0.8779591839413404,0.9765196254555818,1.8507646830376383,0.23129039754208341,1.7552694358712237,1.950272159041474,0.9253823415188192,0.11564519877104171,0.8788122264726128,0.9766622273994301
DGFM,0.03,4,m/current divided by m=1 within method,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",0.8603826701903954,0.11106713908061135,0.8169860228192104,0.9099405015184555,3.4415306807615815,0.4442685563224454,3.2702174489202345,3.6431738241525746,0.8603826701903954,0.11106713908061135,0.8175834709785063,0.9104013619536682
DGFM,0.03,8,m/current divided by m=1 within method,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",0.8460807808647697,0.10608629595380209,0.8041072457513125,0.8923855658982146,6.768646246918157,0.8486903676304167,6.428619993779578,7.1460944040577825,0.8460807808647697,0.10608629595380209,0.8027440409044376,0.8903676403350729
DGFM,0.02,1,m/current divided by m=1 within method,2,20,False,"3,11",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
DGFM,0.02,2,m/current divided by m=1 within method,2,20,False,"3,11",0.09778365234462143,0.07080374754285056,0.04771784232365145,0.1478494623655914,0.19556730468924285,0.1416074950857011,0.0954356846473029,0.2956989247311828,0.09778365234462143,0.07080374754285056,0.04771784232365145,0.1478494623655914
DGFM,0.02,4,m/current divided by m=1 within method,2,20,False,"3,11",0.06533317717396153,0.027356889646026183,0.045988934993084374,0.0846774193548387,0.2613327086958461,0.10942755858410473,0.1839557399723375,0.3387096774193548,0.06533317717396153,0.027356889646026183,0.045988934993084374,0.0846774193548387
DGFM,0.02,8,m/current divided by m=1 within method,2,20,False,"3,11",0.06211657297104359,0.025252968552447557,0.04426002766251729,0.07997311827956989,0.4969325837683487,0.20202374841958046,0.35408022130013833,0.6397849462365591,0.06211657297104359,0.025252968552447557,0.04426002766251729,0.07997311827956989
DGFM,0.018,1,m/current divided by m=1 within method,0,20,False,,,,,,,,,,,,,
DGFM,0.018,2,m/current divided by m=1 within method,0,20,False,,,,,,,,,,,,,
DGFM,0.018,4,m/current divided by m=1 within method,0,20,False,,,,,,,,,,,,,
DGFM,0.018,8,m/current divided by m=1 within method,0,20,False,,,,,,,,,,,,,
DGFM,0.016,1,m/current divided by m=1 within method,0,20,False,,,,,,,,,,,,,
DGFM,0.016,2,m/current divided by m=1 within method,0,20,False,,,,,,,,,,,,,
DGFM,0.016,4,m/current divided by m=1 within method,0,20,False,,,,,,,,,,,,,
DGFM,0.016,8,m/current divided by m=1 within method,0,20,False,,,,,,,,,,,,,
DGFM,0.015,1,m/current divided by m=1 within method,0,20,False,,,,,,,,,,,,,
DGFM,0.015,2,m/current divided by m=1 within method,0,20,False,,,,,,,,,,,,,
DGFM,0.015,4,m/current divided by m=1 within method,0,20,False,,,,,,,,,,,,,
DGFM,0.015,8,m/current divided by m=1 within method,0,20,False,,,,,,,,,,,,,
DGFM,0.01,1,m/current divided by m=1 within method,0,20,False,,,,,,,,,,,,,
DGFM,0.01,2,m/current divided by m=1 within method,0,20,False,,,,,,,,,,,,,
DGFM,0.01,4,m/current divided by m=1 within method,0,20,False,,,,,,,,,,,,,
DGFM,0.01,8,m/current divided by m=1 within method,0,20,False,,,,,,,,,,,,,
DGFM+,0.05,1,m/current divided by m=1 within method,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
