worker_count,method,epsilon,scope,seeds,hits,hit_rate,mean_first_hit_depth,sd_first_hit_depth,mean_first_hit_work,sd_first_hit_work,mean_first_hit_per_worker_work,sd_first_hit_per_worker_work,mean_capped_depth,mean_capped_work,mean_capped_per_worker_work
1,NOG-ZO,0.05,primary,20,20,1.0,214.2,2.0416711421361615,219340.8,2090.6712495474294,219340.8,2090.6712495474294,214.2,219340.8,219340.8
1,NOG-ZO,0.03,descriptive,20,20,1.0,228.2,1.5761378513048243,233676.8,1613.96515973614,233676.8,1613.96515973614,228.2,233676.8,233676.8
1,NOG-ZO,0.02,descriptive,20,20,1.0,237.2,1.8806493839265088,242892.8,1925.784969140745,242892.8,1925.784969140745,237.2,242892.8,242892.8
1,NOG-ZO,0.018,descriptive,20,20,1.0,238.8,2.2849622823099174,244531.2,2339.8013770853554,244531.2,2339.8013770853554,238.8,244531.2,244531.2
1,NOG-ZO,0.016,descriptive,20,19,0.95,241.68421052631578,2.0290290940071523,247484.63157894736,2077.725792263324,247484.63157894736,2077.725792263324,277.6,284262.4,284262.4
1,NOG-ZO,0.015,descriptive,20,16,0.8,243.0,2.309401076758503,248832.0,2364.826702600707,248832.0,2364.826702600707,386.4,395673.6,395673.6
1,NOG-ZO,0.01,descriptive,20,0,0.0,,,,,,,960.0,983040.0,983040.0
1,ME-DOL-ZO,0.05,primary,20,20,1.0,348.0,49.246960900087394,11136.0,1575.9027488027966,11136.0,1575.9027488027966,348.0,11136.0,11136.0
1,ME-DOL-ZO,0.03,descriptive,20,0,0.0,,,,,,,30720.0,983040.0,983040.0
1,ME-DOL-ZO,0.02,descriptive,20,0,0.0,,,,,,,30720.0,983040.0,983040.0
1,ME-DOL-ZO,0.018,descriptive,20,0,0.0,,,,,,,30720.0,983040.0,983040.0
1,ME-DOL-ZO,0.016,descriptive,20,0,0.0,,,,,,,30720.0,983040.0,983040.0
1,ME-DOL-ZO,0.015,descriptive,20,0,0.0,,,,,,,30720.0,983040.0,983040.0
1,ME-DOL-ZO,0.01,descriptive,20,0,0.0,,,,,,,30720.0,983040.0,983040.0
1,DGFM,0.05,primary,20,20,1.0,1385.6,110.41281390166729,22169.6,1766.6050224266767,22169.6,1766.6050224266767,1385.6,22169.6,22169.6
1,DGFM,0.03,descriptive,20,20,1.0,1977.6,210.632730999769,31641.6,3370.123695996304,31641.6,3370.123695996304,1977.6,31641.6,31641.6
1,DGFM,0.02,descriptive,20,2,0.1,35040.0,15884.446732574603,560640.0,254151.14772119364,560640.0,254151.14772119364,58800.0,940800.0,940800.0
1,DGFM,0.018,descriptive,20,0,0.0,,,,,,,61440.0,983040.0,983040.0
1,DGFM,0.016,descriptive,20,0,0.0,,,,,,,61440.0,983040.0,983040.0
1,DGFM,0.015,descriptive,20,0,0.0,,,,,,,61440.0,983040.0,983040.0
1,DGFM,0.01,descriptive,20,0,0.0,,,,,,,61440.0,983040.0,983040.0
1,DGFM+,0.05,primary,20,20,1.0,13360.0,4356.944559520679,227132.8,74071.15238286978,227132.8,74071.15238286978,13360.0,227132.8,227132.8
1,DGFM+,0.03,descriptive,20,20,1.0,26332.8,5527.274169730359,447691.2,93962.99277436723,447691.2,93962.99277436723,26332.8,447691.2,447691.2
1,DGFM+,0.02,descriptive,20,20,1.0,35632.0,7956.533707059812,605776.0,135249.39754083156,605776.0,135249.39754083156,35632.0,605776.0,605776.0
1,DGFM+,0.018,descriptive,20,20,1.0,38886.4,7554.894003923966,661100.8,128439.72024818326,661100.8,128439.72024818326,38886.4,661100.8,661100.8
1,DGFM+,0.016,descriptive,20,18,0.9,42033.77777777778,7375.143273228907,714609.7777777778,125372.35017224659,714609.7777777778,125372.35017224659,43612.0,741443.2,741443.2
1,DGFM+,0.015,descriptive,20,16,0.8,45452.0,7589.843037463511,772718.0,129026.28726477924,772718.0,129026.28726477924,47924.8,814763.2,814763.2
1,DGFM+,0.01,descriptive,20,0,0.0,,,,,,,57816.0,982944.0,982944.0
2,NOG-ZO,0.05,primary,20,20,1.0,214.2,2.4192212753171978,219340.8,2477.2825859248105,109670.4,1238.6412929624053,214.2,219340.8,109670.4
2,NOG-ZO,0.03,descriptive,20,20,1.0,228.6,1.9574419397183718,234086.4,2004.4205462716127,117043.2,1002.2102731358063,228.6,234086.4,117043.2
2,NOG-ZO,0.02,descriptive,20,20,1.0,237.4,2.348571794449599,243097.6,2404.9375175163896,121548.8,1202.4687587581948,237.4,243097.6,121548.8
2,NOG-ZO,0.018,descriptive,20,20,1.0,239.2,2.7834094957538373,244940.8,2850.2113236519294,122470.4,1425.1056618259647,239.2,244940.8,122470.4
2,NOG-ZO,0.016,descriptive,20,18,0.9,242.88888888888889,2.6764526322747533,248718.22222222222,2740.6874954493474,124359.11111111111,1370.3437477246737,314.6,322150.4,161075.2
2,NOG-ZO,0.015,descriptive,20,12,0.6,242.66666666666666,3.1139957766460915,248490.66666666666,3188.7316752855977,124245.33333333333,1594.3658376427989,529.6,542310.4,271155.2
2,NOG-ZO,0.01,descriptive,20,0,0.0,,,,,,,960.0,983040.0,491520.0
2,ME-DOL-ZO,0.05,primary,20,20,1.0,326.4,29.030655303806373,20889.6,1857.961939443608,10444.8,928.980969721804,326.4,20889.6,10444.8
2,ME-DOL-ZO,0.03,descriptive,20,20,1.0,1951.2,1898.4304209419674,124876.8,121499.54694028592,62438.4,60749.77347014296,1951.2,124876.8,62438.4
2,ME-DOL-ZO,0.02,descriptive,20,0,0.0,,,,,,,15360.0,983040.0,491520.0
2,ME-DOL-ZO,0.018,descriptive,20,0,0.0,,,,,,,15360.0,983040.0,491520.0
2,ME-DOL-ZO,0.016,descriptive,20,0,0.0,,,,,,,15360.0,983040.0,491520.0
2,ME-DOL-ZO,0.015,descriptive,20,0,0.0,,,,,,,15360.0,983040.0,491520.0
2,ME-DOL-ZO,0.01,descriptive,20,0,0.0,,,,,,,15360.0,983040.0,491520.0
2,DGFM,0.05,primary,20,20,1.0,1355.2,60.782268882679226,43366.4,1945.0326042457352,21683.2,972.5163021228676,1355.2,43366.4,21683.2
2,DGFM,0.03,descriptive,20,20,1.0,1809.6,103.0270276240785,57907.2,3296.864883970512,28953.6,1648.432441985256,1809.6,57907.2,28953.6
2,DGFM,0.02,descriptive,20,20,1.0,2971.2,530.2306945789579,95078.4,16967.382226526654,47539.2,8483.691113263327,2971.2,95078.4,47539.2
2,DGFM,0.018,descriptive,20,20,1.0,5190.4,1593.3030372220637,166092.8,50985.69719110604,83046.4,25492.84859555302,5190.4,166092.8,83046.4
2,DGFM,0.016,descriptive,20,6,0.3,18197.333333333332,5765.354548218753,582314.6666666666,184491.3455430001,291157.3333333333,92245.67277150005,26963.2,862822.4,431411.2
2,DGFM,0.015,descriptive,20,0,0.0,,,,,,,30720.0,983040.0,491520.0
2,DGFM,0.01,descriptive,20,0,0.0,,,,,,,30720.0,983040.0,491520.0
2,DGFM+,0.05,primary,20,18,0.9,4549.333333333333,6051.960110284153,154762.66666666666,205772.2220503278,77381.33333333333,102886.1110251639,6984.0,237532.8,118766.4
2,DGFM+,0.03,descriptive,20,0,0.0,,,,,,,28896.0,982464.0,491232.0
2,DGFM+,0.02,descriptive,20,0,0.0,,,,,,,28896.0,982464.0,491232.0
2,DGFM+,0.018,descriptive,20,0,0.0,,,,,,,28896.0,982464.0,491232.0
2,DGFM+,0.016,descriptive,20,0,0.0,,,,,,,28896.0,982464.0,491232.0
2,DGFM+,0.015,descriptive,20,0,0.0,,,,,,,28896.0,982464.0,491232.0
