worker_count,method,seeds,final_depth_mean,final_total_work_mean,final_per_worker_work_mean,final_stat_proxy_mean,final_stat_proxy_sd
1,DGFM,20,61440.0,983040.0,983040.0,0.02496379902586336,0.0017603680382022781
1,DGFM+,20,57816.0,982944.0,982944.0,0.015840679081156793,0.0011833103544133874
1,ME-DOL-ZO,20,30720.0,983040.0,983040.0,0.050214087963104205,0.0025102793166097456
1,NOG-ZO,20,960.0,983040.0,983040.0,0.029203808587044428,0.0025231728171383255
2,DGFM,20,30720.0,983040.0,491520.0,0.018103221897035796,0.0009958110872429246
2,DGFM+,20,28896.0,982464.0,491232.0,0.0562352297827601,0.0029429316772046532
2,ME-DOL-ZO,20,15360.0,983040.0,491520.0,0.03238922758027907,0.0016447491253384064
2,NOG-ZO,20,960.0,983040.0,491520.0,0.02902147360146041,0.0018873375626312784
4,DGFM,20,15360.0,983040.0,245760.0,0.014427548879757477,0.0007522108456397319
4,DGFM+,20,14448.0,982656.0,245664.0,0.040133167617022944,0.0029830046630914347
4,ME-DOL-ZO,20,7680.0,983040.0,245760.0,0.02073072176426646,0.0010971078383293234
4,NOG-ZO,20,960.0,983040.0,245760.0,0.028929538745433036,0.0024505891895298007
8,DGFM,20,7680.0,983040.0,122880.0,0.01162125333212311,0.0007517701732925349
8,DGFM+,20,7224.0,983040.0,122880.0,0.028950484655797432,0.001698358661148772
8,ME-DOL-ZO,20,3840.0,983040.0,122880.0,0.01424976699054237,0.0008036457297742028
8,NOG-ZO,20,960.0,983040.0,122880.0,0.02934895949438209,0.001980484228059423
