dataset,method,iteration,depth,total_work,epsilon_mean,epsilon_ci_low,epsilon_ci_high,seed_count
synthetic_maxsinl1,current_NOG-nonopt,2,4,4096,0.2500548825,0.249233646,0.2508761189,20
synthetic_maxsinl1,current_NOG-nonopt,6,8,8192,0.2493049048,0.248497387,0.2501124226,20
synthetic_maxsinl1,current_NOG-nonopt,10,12,12288,0.249186822,0.2483859418,0.2499877023,20
synthetic_maxsinl1,current_NOG-nonopt,14,16,16384,0.2488691859,0.2480730207,0.2496653511,20
synthetic_maxsinl1,current_NOG-nonopt,18,20,20480,0.24834565,0.2475554621,0.2491358379,20
synthetic_maxsinl1,current_NOG-nonopt,22,24,24576,0.2476229437,0.2468470545,0.2483988328,20
synthetic_maxsinl1,current_NOG-nonopt,26,28,28672,0.246704708,0.2459316907,0.2474777254,20
synthetic_maxsinl1,current_NOG-nonopt,30,32,32768,0.2455788173,0.2448033043,0.2463543302,20
synthetic_maxsinl1,current_NOG-nonopt,34,36,36864,0.2442996286,0.2435354761,0.2450637811,20
synthetic_maxsinl1,current_NOG-nonopt,38,40,40960,0.2427483261,0.2419976149,0.2434990372,20
synthetic_maxsinl1,current_NOG-nonopt,42,44,45056,0.2410559557,0.2403229933,0.2417889182,20
synthetic_maxsinl1,current_NOG-nonopt,46,48,49152,0.2391685441,0.2384491047,0.2398879835,20
synthetic_maxsinl1,current_NOG-nonopt,50,52,53248,0.2370911755,0.2363953106,0.2377870403,20
synthetic_maxsinl1,current_NOG-nonopt,54,56,57344,0.2347895361,0.2341008435,0.2354782287,20
synthetic_maxsinl1,current_NOG-nonopt,58,60,61440,0.2323329322,0.231679048,0.2329868164,20
synthetic_maxsinl1,current_NOG-nonopt,62,64,65536,0.2297605447,0.2291281024,0.2303929871,20
synthetic_maxsinl1,current_NOG-nonopt,66,68,69632,0.2269279227,0.2263362732,0.2275195722,20
synthetic_maxsinl1,current_NOG-nonopt,70,72,73728,0.2239376105,0.2233574048,0.2245178163,20
synthetic_maxsinl1,current_NOG-nonopt,74,76,77824,0.2207152151,0.2201957788,0.2212346513,20
synthetic_maxsinl1,current_NOG-nonopt,78,80,81920,0.2174790941,0.2169334499,0.2180247383,20
synthetic_maxsinl1,current_NOG-nonopt,82,84,86016,0.2139644779,0.21345927,0.2144696858,20
synthetic_maxsinl1,current_NOG-nonopt,86,88,90112,0.2103696711,0.2099079015,0.2108314407,20
synthetic_maxsinl1,current_NOG-nonopt,90,92,94208,0.2064786956,0.2059853106,0.2069720805,20
synthetic_maxsinl1,current_NOG-nonopt,94,96,98304,0.2025052108,0.2020736006,0.202936821,20
synthetic_maxsinl1,current_NOG-nonopt,98,100,102400,0.1984495863,0.1980375283,0.1988616443,20
synthetic_maxsinl1,current_NOG-nonopt,102,104,106496,0.19410991,0.1937408456,0.1944789744,20
synthetic_maxsinl1,current_NOG-nonopt,106,108,110592,0.1897085227,0.189364838,0.1900522074,20
synthetic_maxsinl1,current_NOG-nonopt,110,112,114688,0.1851507843,0.1847845788,0.1855169897,20
synthetic_maxsinl1,current_NOG-nonopt,114,116,118784,0.1804385677,0.1801104694,0.180766666,20
synthetic_maxsinl1,current_NOG-nonopt,118,120,122880,0.1757020749,0.1753669353,0.1760372145,20
synthetic_maxsinl1,current_NOG-nonopt,122,124,126976,0.1707146727,0.1703608247,0.1710685206,20
synthetic_maxsinl1,current_NOG-nonopt,126,128,131072,0.1657131277,0.1654289863,0.1659972691,20
synthetic_maxsinl1,current_NOG-nonopt,130,132,135168,0.1604769237,0.1601478071,0.1608060403,20
synthetic_maxsinl1,current_NOG-nonopt,134,136,139264,0.1551797919,0.1548241774,0.1555354064,20
synthetic_maxsinl1,current_NOG-nonopt,138,140,143360,0.1499328472,0.1495818973,0.150283797,20
synthetic_maxsinl1,current_NOG-nonopt,142,144,147456,0.1444459021,0.1440459772,0.144845827,20
synthetic_maxsinl1,current_NOG-nonopt,146,148,151552,0.138814345,0.1383996009,0.1392290891,20
synthetic_maxsinl1,current_NOG-nonopt,150,152,155648,0.1332033582,0.1327426222,0.1336640942,20
synthetic_maxsinl1,current_NOG-nonopt,154,156,159744,0.1275796793,0.1270926616,0.1280666971,20
synthetic_maxsinl1,current_NOG-nonopt,158,160,163840,0.1217580456,0.1212240801,0.1222920112,20
synthetic_maxsinl1,current_NOG-nonopt,162,164,167936,0.115921491,0.1153747828,0.1164681992,20
synthetic_maxsinl1,current_NOG-nonopt,166,168,172032,0.110095058,0.1094906648,0.1106994512,20
synthetic_maxsinl1,current_NOG-nonopt,170,172,176128,0.104132922,0.1034710714,0.1047947725,20
synthetic_maxsinl1,current_NOG-nonopt,174,176,180224,0.09815665707,0.09747249984,0.0988408143,20
synthetic_maxsinl1,current_NOG-nonopt,178,180,184320,0.09200305901,0.09127847552,0.09272764251,20
synthetic_maxsinl1,current_NOG-nonopt,182,184,188416,0.08591627553,0.0851929275,0.08663962356,20
