method,base_method,iteration,round,block_id,worker_count,eval_point,delta,target_delta,smoothing_delta,M,lr_or_eta,block_oracle_norm,time_sec,formal_seed,problem_seed,partition_seed,method_seed,oracle_type,work,total_work,per_worker_work_max,per_worker_work,eval_work,communication_round,depth,objective,stat_proxy,evaluation_delta,train_accuracy,candidate_id,candidate_parameters,candidate_rounds,target_total_work,dataset,ablation_stage,ablation_method
NOG-ZO-NONOPT,NOG-nonopt,1,1,1,8,y_bar,0.002,0.002,0.001,1,9e-05,1.5544347763061523,0.06714224815368652,726,100726,200726,1748314812,szo,384,384,48,"[48, 48, 48, 48, 48, 48, 48, 48]",8192,3,3,0.999998927116394,0.3642611801624298,0.002,0.7613709568977356,NOG-ZO-NONOPT__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,formal,NOG-ZO-NONOPT
NOG-ZO-NONOPT,NOG-nonopt,97,97,97,8,y_bar,0.002,0.002,0.001,1,9e-05,1.4878196716308594,0.5250256061553955,726,100726,200726,1748314812,szo,12672,12672,1584,"[1584, 1584, 1584, 1584, 1584, 1584, 1584, 1584]",16384,99,99,0.9734033942222595,0.3642611801624298,0.002,0.7591904401779175,NOG-ZO-NONOPT__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,formal,NOG-ZO-NONOPT
NOG-ZO-NONOPT,NOG-nonopt,193,193,193,8,y_bar,0.002,0.002,0.001,1,9e-05,1.4042309522628784,0.9926066398620605,726,100726,200726,1748314812,szo,24960,24960,3120,"[3120, 3120, 3120, 3120, 3120, 3120, 3120, 3120]",24576,195,195,0.9426493644714355,0.3642611801624298,0.002,0.7591904401779175,NOG-ZO-NONOPT__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,formal,NOG-ZO-NONOPT
NOG-ZO-NONOPT,NOG-nonopt,289,289,289,8,y_bar,0.002,0.002,0.001,1,9e-05,1.353216528892517,1.459411382675171,726,100726,200726,1748314812,szo,37248,37248,4656,"[4656, 4656, 4656, 4656, 4656, 4656, 4656, 4656]",32768,291,291,0.9114531874656677,0.3642611801624298,0.002,0.7591904401779175,NOG-ZO-NONOPT__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,formal,NOG-ZO-NONOPT
NOG-ZO-NONOPT,NOG-nonopt,385,385,385,8,y_bar,0.002,0.002,0.001,1,9e-05,1.2713050842285156,1.9116544723510742,726,100726,200726,1748314812,szo,49536,49536,6192,"[6192, 6192, 6192, 6192, 6192, 6192, 6192, 6192]",40960,387,387,0.8808947205543518,0.3642611801624298,0.002,0.7591904401779175,NOG-ZO-NONOPT__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,formal,NOG-ZO-NONOPT
NOG-ZO-NONOPT,NOG-nonopt,481,481,481,8,y_bar,0.002,0.002,0.001,1,9e-05,1.404808759689331,2.3639731407165527,726,100726,200726,1748314812,szo,61824,61824,7728,"[7728, 7728, 7728, 7728, 7728, 7728, 7728, 7728]",49152,483,483,0.8494164347648621,0.3642611503601074,0.002,0.7591904401779175,NOG-ZO-NONOPT__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,formal,NOG-ZO-NONOPT
NOG-ZO-NONOPT,NOG-nonopt,577,577,577,8,y_bar,0.002,0.002,0.001,1,9e-05,1.3313086032867432,2.818789482116699,726,100726,200726,1748314812,szo,74112,74112,9264,"[9264, 9264, 9264, 9264, 9264, 9264, 9264, 9264]",57344,579,579,0.8187435269355774,0.3642611503601074,0.002,0.7591904401779175,NOG-ZO-NONOPT__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,formal,NOG-ZO-NONOPT
NOG-ZO-NONOPT,NOG-nonopt,673,673,673,8,y_bar,0.002,0.002,0.001,1,9e-05,1.6161226034164429,3.27020263671875,726,100726,200726,1748314812,szo,86400,86400,10800,"[10800, 10800, 10800, 10800, 10800, 10800, 10800, 10800]",65536,675,675,0.7877649068832397,0.3642611503601074,0.002,0.7591904401779175,NOG-ZO-NONOPT__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,formal,NOG-ZO-NONOPT
NOG-ZO-NONOPT,NOG-nonopt,769,769,769,8,y_bar,0.002,0.002,0.001,1,9e-05,1.4569270610809326,3.7245943546295166,726,100726,200726,1748314812,szo,98688,98688,12336,"[12336, 12336, 12336, 12336, 12336, 12336, 12336, 12336]",73728,771,771,0.7567036747932434,0.3642611503601074,0.002,0.7591904401779175,NOG-ZO-NONOPT__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,formal,NOG-ZO-NONOPT
NOG-ZO-NONOPT,NOG-nonopt,865,865,865,8,y_bar,0.002,0.002,0.001,1,9e-05,1.1976773738861084,4.18360447883606,726,100726,200726,1748314812,szo,110976,110976,13872,"[13872, 13872, 13872, 13872, 13872, 13872, 13872, 13872]",81920,867,867,0.7260391116142273,0.3642611503601074,0.002,0.7591904401779175,NOG-ZO-NONOPT__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,formal,NOG-ZO-NONOPT
