dataset,budget_view,target_index,target_budget,method,point_role,epsilon_mean,epsilon_ci95_low,epsilon_ci95_high,actual_budget_min,actual_budget_max,seed_count
a9a,communication_depth,0,0,latest_NOG-ZO,common_initial_reference,0.3590573817,0.3566614246,0.3614533389,0,0,20
a9a,communication_depth,0,0,current_NOG-opt,common_initial_reference,0.3590573817,0.3566614246,0.3614533389,0,0,20
a9a,communication_depth,0,0,current_NOG-nonopt,common_initial_reference,0.3590573817,0.3566614246,0.3614533389,0,0,20
a9a,communication_depth,1,768,latest_NOG-ZO,matched_budget_checkpoint,0.3590573847,0.3566614267,0.3614533427,771,771,20
a9a,communication_depth,1,768,current_NOG-opt,matched_budget_checkpoint,0.3610625237,0.3583813384,0.3637437091,771,771,20
a9a,communication_depth,1,768,current_NOG-nonopt,matched_budget_checkpoint,0.3610625237,0.3583813384,0.3637437091,771,771,20
a9a,communication_depth,2,1536,latest_NOG-ZO,matched_budget_checkpoint,0.2854385525,0.2823763937,0.2885007113,1539,1539,20
a9a,communication_depth,2,1536,current_NOG-opt,matched_budget_checkpoint,0.287244013,0.2840737616,0.2904142643,1539,1539,20
a9a,communication_depth,2,1536,current_NOG-nonopt,matched_budget_checkpoint,0.2637147456,0.2607454089,0.2666840824,1539,1539,20
a9a,communication_depth,3,2304,latest_NOG-ZO,matched_budget_checkpoint,0.03743806612,0.03640516276,0.03847096948,2307,2307,20
a9a,communication_depth,3,2304,current_NOG-opt,matched_budget_checkpoint,0.03690247405,0.03607891707,0.03772603104,2307,2307,20
a9a,communication_depth,3,2304,current_NOG-nonopt,matched_budget_checkpoint,0.03597618844,0.03503251616,0.03691986072,2307,2307,20
a9a,communication_depth,4,3072,latest_NOG-ZO,matched_budget_checkpoint,0.02978367191,0.02890189849,0.03066544533,3075,3075,20
a9a,communication_depth,4,3072,current_NOG-opt,matched_budget_checkpoint,0.03070237264,0.02915450351,0.03225024177,3075,3075,20
a9a,communication_depth,4,3072,current_NOG-nonopt,matched_budget_checkpoint,0.03056293922,0.02901612926,0.03210974917,3075,3075,20
a9a,communication_depth,5,3840,latest_NOG-ZO,matched_budget_checkpoint,0.02837341875,0.02696483259,0.02978200491,3843,3843,20
a9a,communication_depth,5,3840,current_NOG-opt,matched_budget_checkpoint,0.02738018287,0.02663806245,0.02812230329,3843,3843,20
a9a,communication_depth,5,3840,current_NOG-nonopt,matched_budget_checkpoint,0.02723989114,0.02651231019,0.0279674721,3843,3843,20
a9a,training_work,0,0,latest_NOG-ZO,common_initial_reference,0.3590573817,0.3566614246,0.3614533389,0,0,20
a9a,training_work,0,0,current_NOG-opt,common_initial_reference,0.3590573817,0.3566614246,0.3614533389,0,0,20
a9a,training_work,0,0,current_NOG-nonopt,common_initial_reference,0.3590573817,0.3566614246,0.3614533389,0,0,20
a9a,training_work,1,98304,latest_NOG-ZO,matched_budget_checkpoint,0.3590573847,0.3566614267,0.3614533427,98688,98688,20
a9a,training_work,1,98304,current_NOG-opt,matched_budget_checkpoint,0.3610625237,0.3583813384,0.3637437091,98688,98688,20
a9a,training_work,1,98304,current_NOG-nonopt,matched_budget_checkpoint,0.3610625237,0.3583813384,0.3637437091,98688,98688,20
a9a,training_work,2,196608,latest_NOG-ZO,matched_budget_checkpoint,0.2854385525,0.2823763937,0.2885007113,196992,196992,20
a9a,training_work,2,196608,current_NOG-opt,matched_budget_checkpoint,0.287244013,0.2840737616,0.2904142643,196992,196992,20
a9a,training_work,2,196608,current_NOG-nonopt,matched_budget_checkpoint,0.2637147456,0.2607454089,0.2666840824,196992,196992,20
a9a,training_work,3,294912,latest_NOG-ZO,matched_budget_checkpoint,0.03743806612,0.03640516276,0.03847096948,295296,295296,20
a9a,training_work,3,294912,current_NOG-opt,matched_budget_checkpoint,0.03690247405,0.03607891707,0.03772603104,295296,295296,20
a9a,training_work,3,294912,current_NOG-nonopt,matched_budget_checkpoint,0.03597618844,0.03503251616,0.03691986072,295296,295296,20
a9a,training_work,4,393216,latest_NOG-ZO,matched_budget_checkpoint,0.02978367191,0.02890189849,0.03066544533,393600,393600,20
a9a,training_work,4,393216,current_NOG-opt,matched_budget_checkpoint,0.03070237264,0.02915450351,0.03225024177,393600,393600,20
a9a,training_work,4,393216,current_NOG-nonopt,matched_budget_checkpoint,0.03056293922,0.02901612926,0.03210974917,393600,393600,20
a9a,training_work,5,491520,latest_NOG-ZO,matched_budget_checkpoint,0.02837341875,0.02696483259,0.02978200491,491904,491904,20
a9a,training_work,5,491520,current_NOG-opt,matched_budget_checkpoint,0.02738018287,0.02663806245,0.02812230329,491904,491904,20
a9a,training_work,5,491520,current_NOG-nonopt,matched_budget_checkpoint,0.02723989114,0.02651231019,0.0279674721,491904,491904,20
a9a,training_work,6,589824,latest_NOG-ZO,matched_budget_checkpoint,0.02772428086,0.02637391583,0.02907464589,590208,590208,20
a9a,training_work,6,589824,current_NOG-opt,matched_budget_checkpoint,0.02643042915,0.02538581187,0.02747504642,590208,590208,20
a9a,training_work,6,589824,current_NOG-nonopt,matched_budget_checkpoint,0.02637486197,0.02535464014,0.0273950838,590208,590208,20
a9a,training_work,7,688128,latest_NOG-ZO,matched_budget_checkpoint,0.02747469582,0.02637074096,0.02857865068,688512,688512,20
a9a,training_work,7,688128,current_NOG-opt,matched_budget_checkpoint,0.02607781012,0.02466769358,0.02748792666,688512,688512,20
a9a,training_work,7,688128,current_NOG-nonopt,matched_budget_checkpoint,0.02604286931,0.02464961836,0.02743612027,688512,688512,20
a9a,training_work,8,786432,latest_NOG-ZO,matched_budget_checkpoint,0.02598026274,0.02494451918,0.0270160063,786816,786816,20
a9a,training_work,8,786432,current_NOG-opt,matched_budget_checkpoint,0.02539204676,0.02428861048,0.02649548304,786816,786816,20
a9a,training_work,8,786432,current_NOG-nonopt,matched_budget_checkpoint,0.02527440405,0.02429587296,0.02625293513,786816,786816,20
a9a,training_work,9,884736,latest_NOG-ZO,matched_budget_checkpoint,0.02518937867,0.024278629,0.02610012834,885120,885120,20
a9a,training_work,9,884736,current_NOG-opt,matched_budget_checkpoint,0.02552416418,0.02379875817,0.02724957019,885120,885120,20
a9a,training_work,9,884736,current_NOG-nonopt,matched_budget_checkpoint,0.02554115402,0.0239240853,0.02715822273,885120,885120,20
a9a,training_work,10,983040,latest_NOG-ZO,matched_budget_checkpoint,0.02517223675,0.02373621101,0.02660826249,983040,983040,20
a9a,training_work,10,983040,current_NOG-opt,matched_budget_checkpoint,0.02538425671,0.02430780973,0.02646070369,983040,983040,20
a9a,training_work,10,983040,current_NOG-nonopt,matched_budget_checkpoint,0.02528778007,0.02424480078,0.02633075936,983040,983040,20
ijcnn1,communication_depth,0,0,latest_NOG-ZO,common_initial_reference,0.3039053664,0.3028622671,0.3049484656,0,0,20
ijcnn1,communication_depth,0,0,current_NOG-opt,common_initial_reference,0.3039053664,0.3028622671,0.3049484656,0,0,20
ijcnn1,communication_depth,0,0,current_NOG-nonopt,common_initial_reference,0.3039053664,0.3028622671,0.3049484656,0,0,20
ijcnn1,communication_depth,1,768,latest_NOG-ZO,matched_budget_checkpoint,0.3039053664,0.3028622671,0.3049484656,771,771,20
ijcnn1,communication_depth,1,768,current_NOG-opt,matched_budget_checkpoint,0.304580003,0.3029408667,0.3062191393,771,771,20
ijcnn1,communication_depth,1,768,current_NOG-nonopt,matched_budget_checkpoint,0.304580003,0.3029408667,0.3062191393,771,771,20
ijcnn1,communication_depth,2,1536,latest_NOG-ZO,matched_budget_checkpoint,0.3039053664,0.3028622671,0.3049484656,1539,1539,20
ijcnn1,communication_depth,2,1536,current_NOG-opt,matched_budget_checkpoint,0.304580003,0.3029408667,0.3062191393,1539,1539,20
ijcnn1,communication_depth,2,1536,current_NOG-nonopt,matched_budget_checkpoint,0.304580003,0.3029408667,0.3062191393,1539,1539,20
ijcnn1,communication_depth,3,2304,latest_NOG-ZO,matched_budget_checkpoint,0.2045959979,0.2031477039,0.206044292,2307,2307,20
ijcnn1,communication_depth,3,2304,current_NOG-opt,matched_budget_checkpoint,0.2030220807,0.2016223412,0.2044218201,2307,2307,20
ijcnn1,communication_depth,3,2304,current_NOG-nonopt,matched_budget_checkpoint,0.2019613266,0.2005439671,0.2033786861,2307,2307,20
ijcnn1,communication_depth,4,3072,latest_NOG-ZO,matched_budget_checkpoint,0.1004235353,0.0991509848,0.1016960859,3075,3075,20
ijcnn1,communication_depth,4,3072,current_NOG-opt,matched_budget_checkpoint,0.09930994995,0.09818131257,0.1004385873,3075,3075,20
ijcnn1,communication_depth,4,3072,current_NOG-nonopt,matched_budget_checkpoint,0.09611583799,0.09486989967,0.09736177631,3075,3075,20
ijcnn1,communication_depth,5,3840,latest_NOG-ZO,matched_budget_checkpoint,0.02796379905,0.02607741211,0.02985018599,3843,3843,20
ijcnn1,communication_depth,5,3840,current_NOG-opt,matched_budget_checkpoint,0.02816685857,0.02692089617,0.02941282097,3843,3843,20
ijcnn1,communication_depth,5,3840,current_NOG-nonopt,matched_budget_checkpoint,0.0281879466,0.02696413238,0.02941176082,3843,3843,20
ijcnn1,training_work,0,0,latest_NOG-ZO,common_initial_reference,0.3039053664,0.3028622671,0.3049484656,0,0,20
ijcnn1,training_work,0,0,current_NOG-opt,common_initial_reference,0.3039053664,0.3028622671,0.3049484656,0,0,20
ijcnn1,training_work,0,0,current_NOG-nonopt,common_initial_reference,0.3039053664,0.3028622671,0.3049484656,0,0,20
ijcnn1,training_work,1,98304,latest_NOG-ZO,matched_budget_checkpoint,0.3039053664,0.3028622671,0.3049484656,98688,98688,20
ijcnn1,training_work,1,98304,current_NOG-opt,matched_budget_checkpoint,0.304580003,0.3029408667,0.3062191393,98688,98688,20
ijcnn1,training_work,1,98304,current_NOG-nonopt,matched_budget_checkpoint,0.304580003,0.3029408667,0.3062191393,98688,98688,20
ijcnn1,training_work,2,196608,latest_NOG-ZO,matched_budget_checkpoint,0.3039053664,0.3028622671,0.3049484656,196992,196992,20
ijcnn1,training_work,2,196608,current_NOG-opt,matched_budget_checkpoint,0.304580003,0.3029408667,0.3062191393,196992,196992,20
ijcnn1,training_work,2,196608,current_NOG-nonopt,matched_budget_checkpoint,0.304580003,0.3029408667,0.3062191393,196992,196992,20
ijcnn1,training_work,3,294912,latest_NOG-ZO,matched_budget_checkpoint,0.2045959979,0.2031477039,0.206044292,295296,295296,20
ijcnn1,training_work,3,294912,current_NOG-opt,matched_budget_checkpoint,0.2030220807,0.2016223412,0.2044218201,295296,295296,20
ijcnn1,training_work,3,294912,current_NOG-nonopt,matched_budget_checkpoint,0.2019613266,0.2005439671,0.2033786861,295296,295296,20
ijcnn1,training_work,4,393216,latest_NOG-ZO,matched_budget_checkpoint,0.1004235353,0.0991509848,0.1016960859,393600,393600,20
ijcnn1,training_work,4,393216,current_NOG-opt,matched_budget_checkpoint,0.09930994995,0.09818131257,0.1004385873,393600,393600,20
ijcnn1,training_work,4,393216,current_NOG-nonopt,matched_budget_checkpoint,0.09611583799,0.09486989967,0.09736177631,393600,393600,20
ijcnn1,training_work,5,491520,latest_NOG-ZO,matched_budget_checkpoint,0.02796379905,0.02607741211,0.02985018599,491904,491904,20
ijcnn1,training_work,5,491520,current_NOG-opt,matched_budget_checkpoint,0.02816685857,0.02692089617,0.02941282097,491904,491904,20
