dataset,method,formal_seed,epsilon,hit,first_hit_depth,first_hit_work,hit_epsilon,capped_depth,capped_work,stage
synthetic_maxsinl1,current_NOG-nonopt,720,0.2,True,100,102400,0.1970750839,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,720,0.18,True,116,118784,0.1790011674,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,720,0.16,True,132,135168,0.1595752239,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,720,0.14,True,148,151552,0.138697356,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,720,0.12,True,164,167936,0.116100885,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,720,0.1,True,176,180224,0.09892992675,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,720,0.09,True,184,188416,0.08705366403,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,720,0.08,True,192,196608,0.07599165291,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,720,0.07,True,196,200704,0.06956119835,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,720,0.06,True,204,208896,0.05810334161,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,720,0.05,True,212,217088,0.04645964503,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,720,0.04,True,220,225280,0.03533912823,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,720,0.03,True,228,233472,0.02595717646,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,720,0.025,True,232,237568,0.02119094133,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,720,0.02,True,236,241664,0.01783858985,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,720,0.018,True,236,241664,0.01783858985,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,720,0.016,True,240,245760,0.01531092916,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,720,0.015,False,,,0.02807222679,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,720,0.014,False,,,0.02807222679,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,720,0.013,False,,,0.02807222679,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,720,0.012,False,,,0.02807222679,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,720,0.0115,False,,,0.02807222679,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,720,0.011,False,,,0.02807222679,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,720,0.01075,False,,,0.02807222679,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,720,0.0105,False,,,0.02807222679,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,720,0.01025,False,,,0.02807222679,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,720,0.01,False,,,0.02807222679,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,720,0.0095,False,,,0.02807222679,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,720,0.009,False,,,0.02807222679,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,720,0.008,False,,,0.02807222679,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,720,0.007,False,,,0.02807222679,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,720,0.006,False,,,0.02807222679,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,720,0.005,False,,,0.02807222679,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,720,0.004,False,,,0.02807222679,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,720,0.003,False,,,0.02807222679,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,720,0.002,False,,,0.02807222679,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,721,0.2,True,100,102400,0.1989391297,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,721,0.18,True,120,122880,0.1757095307,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,721,0.16,True,136,139264,0.1551186889,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,721,0.14,True,148,151552,0.1391906142,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,721,0.12,True,164,167936,0.1156411171,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,721,0.1,True,176,180224,0.0986244306,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,721,0.09,True,184,188416,0.08561647683,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,721,0.08,True,192,196608,0.07464582473,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,721,0.07,True,196,200704,0.06841336936,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,721,0.06,True,204,208896,0.05596487969,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,721,0.05,True,208,212992,0.04977991059,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,721,0.04,True,216,221184,0.03864498064,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,721,0.03,True,224,229376,0.02781456709,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,721,0.025,True,228,233472,0.02310613543,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,721,0.02,True,232,237568,0.01874566451,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,721,0.018,True,236,241664,0.01569279842,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,721,0.016,True,236,241664,0.01569279842,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,721,0.015,True,240,245760,0.01399188302,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,721,0.014,False,,,0.030753389,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,721,0.013,False,,,0.030753389,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,721,0.012,False,,,0.030753389,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,721,0.0115,False,,,0.030753389,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,721,0.011,False,,,0.030753389,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,721,0.01075,False,,,0.030753389,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,721,0.0105,False,,,0.030753389,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,721,0.01025,False,,,0.030753389,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,721,0.01,False,,,0.030753389,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,721,0.0095,False,,,0.030753389,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,721,0.009,False,,,0.030753389,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,721,0.008,False,,,0.030753389,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,721,0.007,False,,,0.030753389,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,721,0.006,False,,,0.030753389,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,721,0.005,False,,,0.030753389,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,721,0.004,False,,,0.030753389,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,721,0.003,False,,,0.030753389,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,721,0.002,False,,,0.030753389,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,722,0.2,True,100,102400,0.1989297122,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,722,0.18,True,120,122880,0.1759979129,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,722,0.16,True,136,139264,0.1550621092,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,722,0.14,True,148,151552,0.1383359879,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,722,0.12,True,164,167936,0.1151860803,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,722,0.1,True,176,180224,0.09825231135,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,722,0.09,True,184,188416,0.0861806646,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,722,0.08,True,188,192512,0.07966114581,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,722,0.07,True,196,200704,0.06780163199,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,722,0.06,True,204,208896,0.05596782267,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,722,0.05,True,208,212992,0.0499887839,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,722,0.04,True,216,221184,0.03872652352,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,722,0.03,True,224,229376,0.02772631682,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,722,0.025,True,228,233472,0.02294544503,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,722,0.02,True,232,237568,0.01898098551,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,722,0.018,True,236,241664,0.01609690674,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,722,0.016,False,,,0.02969583869,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,722,0.015,False,,,0.02969583869,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,722,0.014,False,,,0.02969583869,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,722,0.013,False,,,0.02969583869,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,722,0.012,False,,,0.02969583869,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,722,0.0115,False,,,0.02969583869,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,722,0.011,False,,,0.02969583869,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,722,0.01075,False,,,0.02969583869,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,722,0.0105,False,,,0.02969583869,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,722,0.01025,False,,,0.02969583869,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,722,0.01,False,,,0.02969583869,960,983040,formal
