dataset,method,epsilon,hit_count,seed_count,hit_rate,first_hit_depth_mean,first_hit_depth_sd,first_hit_work_mean,first_hit_work_sd,capped_depth_mean,capped_work_mean,stage
synthetic_maxsinl1,current_NOG-nonopt,0.002,0,20,0,,,,,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,0.003,0,20,0,,,,,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,0.004,0,20,0,,,,,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,0.005,0,20,0,,,,,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,0.006,0,20,0,,,,,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,0.007,0,20,0,,,,,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,0.008,0,20,0,,,,,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,0.009,0,20,0,,,,,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,0.0095,0,20,0,,,,,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,0.01,0,20,0,,,,,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,0.01025,0,20,0,,,,,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,0.0105,0,20,0,,,,,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,0.01075,0,20,0,,,,,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,0.011,0,20,0,,,,,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,0.0115,0,20,0,,,,,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,0.012,0,20,0,,,,,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,0.013,0,20,0,,,,,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,0.014,3,20,0.15,237.3333333,2.309401077,243029.3333,2364.826703,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,0.015,14,20,0.7,238,2.601774542,243712,2664.217131,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,0.016,18,20,0.9,236.8888889,2.193275522,242574.2222,2245.914135,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,0.018,20,20,1,235,2.554665495,240640,2615.977467,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,0.02,20,20,1,232.8,2.092593455,238387.2,2142.815698,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,0.025,20,20,1,228.4,1.788854382,233881.6,1831.786887,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,0.03,20,20,1,224.4,1.788854382,229785.6,1831.786887,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,0.04,20,20,1,217,1.777046633,222208,1819.695752,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,0.05,20,20,1,209.8,2.041671142,214835.2,2090.67125,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,0.06,20,20,1,203.4,1.95744194,208281.6,2004.420546,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,0.07,20,20,1,196.6,1.465390194,201318.4,1500.559559,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,0.08,20,20,1,189.8,2.041671142,194355.2,2090.67125,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,0.09,20,20,1,184.2,0.894427191,188620.8,915.8934436,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,0.1,20,20,1,176.4,1.231174023,180633.6,1260.722199,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,0.12,20,20,1,164,0,167936,0,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,0.14,20,20,1,148.4,1.231174023,151961.6,1260.722199,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,0.16,20,20,1,135,1.777046633,138240,1819.695752,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,0.18,20,20,1,118.8,1.880649384,121651.2,1925.784969,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,0.2,20,20,1,100.2,0.894427191,102604.8,915.8934436,960,983040,formal
synthetic_maxsinl1,current_NOG-opt,0.002,0,20,0,,,,,960,983040,formal
synthetic_maxsinl1,current_NOG-opt,0.003,0,20,0,,,,,960,983040,formal
synthetic_maxsinl1,current_NOG-opt,0.004,0,20,0,,,,,960,983040,formal
synthetic_maxsinl1,current_NOG-opt,0.005,0,20,0,,,,,960,983040,formal
synthetic_maxsinl1,current_NOG-opt,0.006,0,20,0,,,,,960,983040,formal
synthetic_maxsinl1,current_NOG-opt,0.007,0,20,0,,,,,960,983040,formal
synthetic_maxsinl1,current_NOG-opt,0.008,0,20,0,,,,,960,983040,formal
synthetic_maxsinl1,current_NOG-opt,0.009,0,20,0,,,,,960,983040,formal
synthetic_maxsinl1,current_NOG-opt,0.0095,0,20,0,,,,,960,983040,formal
synthetic_maxsinl1,current_NOG-opt,0.01,0,20,0,,,,,960,983040,formal
synthetic_maxsinl1,current_NOG-opt,0.01025,0,20,0,,,,,960,983040,formal
synthetic_maxsinl1,current_NOG-opt,0.0105,0,20,0,,,,,960,983040,formal
synthetic_maxsinl1,current_NOG-opt,0.01075,0,20,0,,,,,960,983040,formal
synthetic_maxsinl1,current_NOG-opt,0.011,0,20,0,,,,,960,983040,formal
synthetic_maxsinl1,current_NOG-opt,0.0115,0,20,0,,,,,960,983040,formal
synthetic_maxsinl1,current_NOG-opt,0.012,0,20,0,,,,,960,983040,formal
synthetic_maxsinl1,current_NOG-opt,0.013,0,20,0,,,,,960,983040,formal
synthetic_maxsinl1,current_NOG-opt,0.014,5,20,0.25,243.2,1.788854382,249036.8,1831.786887,960,983040,formal
synthetic_maxsinl1,current_NOG-opt,0.015,12,20,0.6,243,2.486326242,248832,2545.998072,960,983040,formal
